workerid,rt,dist1_color,dist1_pos,target_item,dist2_item,dist2_pos,target_pos,dist1_item,dist2_color,target_color,response,condition,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,4766,pink,0,banana,pear,1,2,tomato,green,yellow,banana,overinformative,4,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,1528,pink,2,apple,pear,0,1,tomato,orange,red,apple,overinformative,5,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,2285,pink,0,pepper,pear,1,2,carrot,orange,orange,pepper,overinformative,6,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,1888,blue,0,tomato,pear,2,1,apple,orange,red,tomato,overinformative,7,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,1799,pink,1,banana,carrot,2,0,tomato,orange,blue,banana,overinformative,8,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,1714,blue,0,pepper,carrot,2,1,apple,pink,red,pepper,overinformative,9,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,1487,yellow,0,pear,apple,2,1,banana,blue,green,pear,overinformative,10,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,1824,orange,0,carrot,apple,2,1,pepper,blue,pink,carrot,overinformative,11,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,1739,orange,2,tomato,apple,1,0,pepper,blue,pink,tomato,overinformative,12,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,2527,red,2,apple,pear,0,1,pepper,orange,blue,apple,overinformative,13,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,1391,blue,1,pear,pepper,2,0,banana,orange,orange,pear,overinformative,14,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
0,2048,blue,1,carrot,apple,0,2,banana,red,orange,carrot,overinformative,15,English,1,Male,28,,Yes,2,Windows,540,960,Firefox,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,34QN5IT0TZQZ8C3CLOLNMP2FX5P080,0,Submitted,Tue Oct 18 00:43:49 PDT 2016,Mon Oct 17 08:02:39 PDT 2016,Mon Oct 17 08:03:49 PDT 2016,,,,,,[],{},0.8056666666666666
1,15525,green,2,carrot,tomato,0,1,pear,pink,pink,Carrot,overinformative,4,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
1,4951,red,2,pepper,pear,1,0,tomato,orange,red,"
pepper",overinformative,5,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
1,2531,blue,2,pear,pepper,1,0,banana,orange,green,"
pear",overinformative,6,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
1,2005,green,2,banana,pepper,0,1,pear,orange,yellow,"
banana",overinformative,7,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
1,3227,orange,2,carrot,banana,1,0,pear,yellow,orange,"
carrot",overinformative,8,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
1,4417,pink,0,apple,carrot,1,2,tomato,orange,red,"
apple",overinformative,9,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
1,2071,yellow,1,pear,carrot,2,0,banana,pink,orange,"
pear",overinformative,10,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
1,6418,red,0,tomato,banana,2,1,apple,yellow,pink,"
tomato",overinformative,11,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
1,2904,pink,0,apple,carrot,1,2,tomato,orange,blue,"
apple",overinformative,12,English,1,Female,31,"You said he understood all the names for the fruits and vegetables, but not words for the order. However, if there aren&quotechart any duplicates of the particular item in the list, I don&quotechart see the need for clarifying order in the list...",Confused,2,Windows,1080,1920,Chrome,36FFXPMST8NAIKYU0BC21JV81EEHOZ,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Mon Oct 17 08:02:04 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Nov 16 07:02:04 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=36FFXPMST8NAIKYU0BC21JV81EEHOZ,3X65QVEQI0MEHBIBRTNBMVQMQULCLR,1,Submitted,Tue Oct 18 00:46:03 PDT 2016,Mon Oct 17 08:02:40 PDT 2016,Mon Oct 17 08:06:03 PDT 2016,,,,,,[],{},3.3100666666666667
