workerid,totalLength,gameID,thinksHuman,comments,ratePartner,role,nativeEnglish
0,741800,2758-d,yes,,okay,listener,yes
1,803601,3075-1,yes,(Great survey! I gave my full effort and hope my input helps further your research. Please let me know if you have any further questions for me. Good luck with your research!),loved,listener,yes
2,838071,3075-1,yes,Very fun!,loved,speaker,yes
3,775755,2758-d,yes,A few times the images advanced before I could write a description.  Hope this is ok and doesn&quotechart affect my payment,liked,speaker,yes
4,840750,3261-5,yes,no,liked,speaker,yes
5,600924,0313-5,yes,,liked,listener,yes
6,705083,0313-5,yes,,loved,speaker,yes
7,759698,3261-5,yes,A lot of fun. Nice break from the usual studies!,loved,listener,yes
8,993672,2809-4,yes,,okay,listener,yes
9,1008561,2809-4,yes,none,okay,speaker,yes
10,563251,1022-7,yes,I found it very fun! I had a great partner and I found the task fun,loved,speaker,yes
11,565628,1022-7,no,,liked,listener,yes
12,1034112,5518-8,no,Thanks!,liked,speaker,yes
13,997294,5518-8,yes,,okay,listener,yes
14,651679,8879-f,no,,okay,speaker,yes
15,533349,8879-f,no,,liked,listener,yes
16,985936,2444-b,yes,"Thank you for the opportunity, I wish the best for your research!",okay,listener,yes
17,1364846,2444-b,no,Just wondering why not make it a bit more difficult? Thank you,loved,speaker,yes
18,1143922,1596-3,yes,Interesting and fun experiment,liked,listener,yes
19,1167283,1596-3,no,No,loved,speaker,yes
20,784103,6040-6,yes,This was a lot of fun although my partner and I didn&quotechart really need to interact much.,liked,speaker,yes
21,566503,6040-6,no,"none, but as the listener, I feel I did little work.",loved,listener,yes
22,387772,5721-4,yes,,loved,speaker,yes
23,337453,5721-4,yes,,not much,listener,yes
24,1009128,3700-f,yes,,liked,listener,yes
25,1033433,3700-f,yes,Nope.,liked,speaker,yes
26,384662,7844-6,no,,loved,speaker,yes
27,365354,7844-6,yes,Nope,loved,listener,yes
28,2698951,5357-c,yes,none,okay,listener,yes
29,2747675,5357-c,yes,no,okay,speaker,yes
30,807696,4194-7,yes,It was fun,liked,speaker,yes
31,478101,4194-7,yes,That was a really interesting experience. I liked trying to work out what my partner meant by some of their shorthand. ,loved,listener,yes
32,1912810,2036-f,yes,Forgive my bad jokes.,okay,speaker,yes
33,1609704,2036-f,yes,,liked,listener,yes
34,870129,7625-1,yes,Thank you,loved,speaker,yes
35,794264,7625-1,yes,"Thanks!  This was really interesting.  I had to remind my partner that left/right/middle weren&quotechart enough for the descriptions since we could have our images in different sequences from each other, but it went very smoothly aside from that, as he/she typed very quickly and I responded quickly.  It was a fun task, and I wish you all the best with your research!",loved,listener,yes
36,768453,8223-f,yes,fun!,loved,speaker,yes
37,624671,8223-f,yes,no,liked,listener,yes
38,2370353,8263-2,yes,"i waited 40 min+ for a partner, then the experiment froze for a while. This should pay much, much more.",loved,speaker,yes
39,599891,8263-2,yes,"Either me, the other person, or system lagged at one point. I wasn&quotechart thinking and clicked multiple times during this segment though, skipping a few.",not much,listener,yes
