constantFreq,constantLength,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,p_s_sub,p_s_basic,p_s_super
0.00000167,7.559444,0.2,0.6,0.2,,,,,,,,,
0.00000167,7.559444,0.2,0.8,0.2,,,,,,,,,
0.00000167,7.559444,0.2,1,0.2,,,,,,,,,
0.00000167,7.559444,0.01,0.01,0.2,,,,,,,,,
0.00000167,7.559444,0.01,0.2,0.2,,,,,,,,,
0.00000167,7.559444,0.01,0.4,0.2,,,,,,,,,
0.00000167,7.559444,0.01,0.6,0.2,,,,,,,,,
0.00000167,7.559444,0.01,0.8,0.2,,,,,,,,,
0.00000167,7.559444,0.01,1,0.2,,,,,,,,,
0.00000167,7.559444,1,0.01,0.4,,,,,,,,,
0.00000167,7.559444,1,0.2,0.4,,,,,,,,,
0.00000167,7.559444,1,0.4,0.4,,,,,,,,,
0.00000167,7.559444,1,0.6,0.4,,,,,,,,,
0.00000167,7.559444,1,0.8,0.4,,,,,,,,,
0.00000167,7.559444,1,1,0.4,,,,,,,,,
0.00000167,7.559444,0.8,0.01,0.4,,,,,,,,,
0.00000167,7.559444,0.8,0.2,0.4,,,,,,,,,
0.00000167,7.559444,0.8,0.4,0.4,,,,,,,,,
0.00000167,7.559444,0.8,0.6,0.4,,,,,,,,,
0.00000167,7.559444,0.8,0.8,0.4,,,,,,,,,
0.00000167,7.559444,0.8,1,0.4,,,,,,,,,
0.00000167,7.559444,0.6,0.01,0.4,,,,,,,,,
0.00000167,7.559444,0.6,0.2,0.4,,,,,,,,,
0.00000167,7.559444,0.6,0.4,0.4,,,,,,,,,
0.00000167,7.559444,0.6,0.6,0.4,,,,,,,,,
0.00000167,7.559444,0.6,0.8,0.4,,,,,,,,,
0.00000167,7.559444,0.6,1,0.4,,,,,,,,,
0.00000167,7.559444,0.4,0.01,0.4,,,,,,,,,
0.00000167,7.559444,0.4,0.2,0.4,,,,,,,,,
0.00000167,7.559444,0.4,0.4,0.4,,,,,,,,,
0.00000167,7.559444,0.4,0.6,0.4,,,,,,,,,
0.00000167,7.559444,0.4,0.8,0.4,,,,,,,,,
0.00000167,7.559444,0.4,1,0.4,,,,,,,,,
0.00000167,7.559444,0.2,0.01,0.4,,,,,,,,,
0.00000167,7.559444,0.2,0.2,0.4,,,,,,,,,
0.00000167,7.559444,0.2,0.4,0.4,,,,,,,,,
0.00000167,7.559444,0.2,0.6,0.4,,,,,,,,,
0.00000167,7.559444,0.2,0.8,0.4,,,,,,,,,
0.00000167,7.559444,0.2,1,0.4,,,,,,,,,
0.00000167,7.559444,0.01,0.01,0.4,,,,,,,,,
0.00000167,7.559444,0.01,0.2,0.4,,,,,,,,,
0.00000167,7.559444,0.01,0.4,0.4,,,,,,,,,
0.00000167,7.559444,0.01,0.6,0.4,,,,,,,,,
0.00000167,7.559444,0.01,0.8,0.4,,,,,,,,,
0.00000167,7.559444,0.01,1,0.4,,,,,,,,,
0.00000167,7.559444,1,0.01,0.6,,,,,,,,,
0.00000167,7.559444,1,0.2,0.6,,,,,,,,,
0.00000167,7.559444,1,0.4,0.6,,,,,,,,,
0.00000167,7.559444,1,0.6,0.6,,,,,,,,,
0.00000167,7.559444,1,0.8,0.6,,,,,,,,,
0.00000167,7.559444,1,1,0.6,,,,,,,,,
0.00000167,7.559444,0.8,0.01,0.6,,,,,,,,,
0.00000167,7.559444,0.8,0.2,0.6,,,,,,,,,
0.00000167,7.559444,0.8,0.4,0.6,,,,,,,,,
0.00000167,7.559444,0.8,0.6,0.6,,,,,,,,,
0.00000167,7.559444,0.8,0.8,0.6,,,,,,,,,
0.00000167,7.559444,0.8,1,0.6,,,,,,,,,
0.00000167,7.559444,0.6,0.01,0.6,,,,,,,,,
0.00000167,7.559444,0.6,0.2,0.6,,,,,,,,,
0.00000167,7.559444,0.6,0.4,0.6,,,,,,,,,
0.00000167,7.559444,0.6,0.6,0.6,,,,,,,,,
0.00000167,7.559444,0.6,0.8,0.6,,,,,,,,,
0.00000167,7.559444,0.6,1,0.6,,,,,,,,,
0.00000167,7.559444,0.4,0.01,0.6,,,,,,,,,
0.00000167,7.559444,0.4,0.2,0.6,,,,,,,,,
0.00000167,7.559444,0.4,0.4,0.6,,,,,,,,,
0.00000167,7.559444,0.4,0.6,0.6,,,,,,,,,
0.00000167,7.559444,0.4,0.8,0.6,,,,,,,,,
0.00000167,7.559444,0.4,1,0.6,,,,,,,,,
0.00000167,7.559444,0.2,0.01,0.6,,,,,,,,,
0.00000167,7.559444,0.2,0.2,0.6,,,,,,,,,
0.00000167,7.559444,0.2,0.4,0.6,,,,,,,,,
0.00000167,7.559444,0.2,0.6,0.6,,,,,,,,,
0.00000167,7.559444,0.2,0.8,0.6,,,,,,,,,
0.00000167,7.559444,0.2,1,0.6,,,,,,,,,
0.00000167,7.559444,0.01,0.01,0.6,,,,,,,,,
0.00000167,7.559444,0.01,0.2,0.6,,,,,,,,,
0.00000167,7.559444,0.01,0.4,0.6,,,,,,,,,
0.00000167,7.559444,0.01,0.6,0.6,,,,,,,,,
0.00000167,7.559444,0.01,0.8,0.6,,,,,,,,,
0.00000167,7.559444,0.01,1,0.6,,,,,,,,,
0.00000167,7.559444,1,0.01,0.8,,,,,,,,,
0.00000167,7.559444,1,0.2,0.8,,,,,,,,,
0.00000167,7.559444,1,0.4,0.8,,,,,,,,,
0.00000167,7.559444,1,0.6,0.8,,,,,,,,,
0.00000167,7.559444,1,0.8,0.8,,,,,,,,,
0.00000167,7.559444,1,1,0.8,,,,,,,,,
0.00000167,7.559444,0.8,0.01,0.8,,,,,,,,,
0.00000167,7.559444,0.8,0.2,0.8,,,,,,,,,
0.00000167,7.559444,0.8,0.4,0.8,,,,,,,,,
0.00000167,7.559444,0.8,0.6,0.8,,,,,,,,,
0.00000167,7.559444,0.8,0.8,0.8,,,,,,,,,
0.00000167,7.559444,0.8,1,0.8,,,,,,,,,
0.00000167,7.559444,0.6,0.01,0.8,,,,,,,,,
0.00000167,7.559444,0.6,0.2,0.8,,,,,,,,,
0.00000167,7.559444,0.6,0.4,0.8,,,,,,,,,
0.00000167,7.559444,0.6,0.6,0.8,,,,,,,,,
0.00000167,7.559444,0.6,0.8,0.8,,,,,,,,,
0.00000167,7.559444,0.6,1,0.8,,,,,,,,,
0.00000167,7.559444,0.4,0.01,0.8,,,,,,,,,
0.00000167,7.559444,0.4,0.2,0.8,,,,,,,,,
0.00000167,7.559444,0.4,0.4,0.8,,,,,,,,,
0.00000167,7.559444,0.4,0.6,0.8,,,,,,,,,
0.00000167,7.559444,0.4,0.8,0.8,,,,,,,,,
0.00000167,7.559444,0.4,1,0.8,,,,,,,,,
0.00000167,7.559444,0.2,0.01,0.8,,,,,,,,,
0.00000167,7.559444,0.2,0.2,0.8,,,,,,,,,
0.00000167,7.559444,0.2,0.4,0.8,,,,,,,,,
0.00000167,7.559444,0.2,0.6,0.8,,,,,,,,,
0.00000167,7.559444,0.2,0.8,0.8,,,,,,,,,
0.00000167,7.559444,0.2,1,0.8,,,,,,,,,
0.00000167,7.559444,0.01,0.01,0.8,,,,,,,,,
0.00000167,7.559444,0.01,0.2,0.8,,,,,,,,,
0.00000167,7.559444,0.01,0.4,0.8,,,,,,,,,
0.00000167,7.559444,0.01,0.6,0.8,,,,,,,,,
0.00000167,7.559444,0.01,0.8,0.8,,,,,,,,,
0.00000167,7.559444,0.01,1,0.8,,,,,,,,,
0.00000167,7.559444,1,0.01,1,,,,,,,,,
0.00000167,7.559444,1,0.2,1,,,,,,,,,
0.00000167,7.559444,1,0.4,1,,,,,,,,,
0.00000167,7.559444,1,0.6,1,,,,,,,,,
0.00000167,7.559444,1,0.8,1,,,,,,,,,
0.00000167,7.559444,1,1,1,,,,,,,,,
0.00000167,7.559444,0.8,0.01,1,,,,,,,,,
0.00000167,7.559444,0.8,0.2,1,,,,,,,,,
0.00000167,7.559444,0.8,0.4,1,,,,,,,,,
0.00000167,7.559444,0.8,0.6,1,,,,,,,,,
0.00000167,7.559444,0.8,0.8,1,,,,,,,,,
0.00000167,7.559444,0.8,1,1,,,,,,,,,
0.00000167,7.559444,0.6,0.01,1,,,,,,,,,
0.00000167,7.559444,0.6,0.2,1,,,,,,,,,
0.00000167,7.559444,0.6,0.4,1,,,,,,,,,
0.00000167,7.559444,0.6,0.6,1,,,,,,,,,
0.00000167,7.559444,0.6,0.8,1,,,,,,,,,
0.00000167,7.559444,0.6,1,1,,,,,,,,,
0.00000167,7.559444,0.4,0.01,1,,,,,,,,,
0.00000167,7.559444,0.4,0.2,1,,,,,,,,,
0.00000167,7.559444,0.4,0.4,1,,,,,,,,,
0.00000167,7.559444,0.4,0.6,1,,,,,,,,,
0.00000167,7.559444,0.4,0.8,1,,,,,,,,,
0.00000167,7.559444,0.4,1,1,,,,,,,,,
0.00000167,7.559444,0.2,0.01,1,,,,,,,,,
0.00000167,7.559444,0.2,0.2,1,,,,,,,,,
0.00000167,7.559444,0.2,0.4,1,,,,,,,,,
0.00000167,7.559444,0.2,0.6,1,,,,,,,,,
0.00000167,7.559444,0.2,0.8,1,,,,,,,,,
0.00000167,7.559444,0.2,1,1,,,,,,,,,
0.00000167,7.559444,0.01,0.01,1,,,,,,,,,
0.00000167,7.559444,0.01,0.2,1,,,,,,,,,
0.00000167,7.559444,0.01,0.4,1,,,,,,,,,
0.00000167,7.559444,0.01,0.6,1,,,,,,,,,
0.00000167,7.559444,0.01,0.8,1,,,,,,,,,
0.00000167,7.559444,0.01,1,1,,,,,,,,,
