context,label_name,informativeness_level,length,relFreq,typicality,distr1,distr1_typicality,distr2,distr2_typicality
12,bla1,sub,4,0.000117655,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,bla2,sub,4,0.000000146,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,bla3,sub,4,0.000117655,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,bla4,sub,4,0.000000146,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,blahblahblah1,sub,13,0.000117655,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,blahblahblah2,sub,13,0.000000146,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,blahblahblah3,sub,13,0.000117655,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,blahblahblah4,sub,13,0.000000146,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,zap1,basic,4,0.000117655,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,zap2,basic,4,0.000000146,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,zap3,basic,4,0.000117655,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,zap4,basic,4,0.000000146,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,zappadhizapp1,basic,13,0.000117655,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,zappadhizapp2,basic,13,0.000000146,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,zappadhizapp3,basic,13,0.000117655,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,zappadhizapp4,basic,13,0.000000146,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,wup1,super,4,0.000117655,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,wup2,super,4,0.000000146,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,wup3,super,4,0.000117655,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,wup4,super,4,0.000000146,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,wuppdeehwupp1,super,13,0.000117655,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,wuppdeehwupp2,super,13,0.000000146,0.95,distr1_highTyp,0.95,distr2_highTyp,0.95
12,wuppdeehwupp3,super,13,0.000117655,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,wuppdeehwupp4,super,13,0.000000146,0.55,distr1_highTyp,0.95,distr2_highTyp,0.95
12,bla1,sub,4,0.000117655,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,bla2,sub,4,0.000000146,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,bla3,sub,4,0.000117655,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,bla4,sub,4,0.000000146,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,blahblahblah1,sub,13,0.000117655,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,blahblahblah2,sub,13,0.000000146,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,blahblahblah3,sub,13,0.000117655,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,blahblahblah4,sub,13,0.000000146,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,zap1,basic,4,0.000117655,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,zap2,basic,4,0.000000146,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,zap3,basic,4,0.000117655,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,zap4,basic,4,0.000000146,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,zappadhizapp1,basic,13,0.000117655,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,zappadhizapp2,basic,13,0.000000146,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,zappadhizapp3,basic,13,0.000117655,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,zappadhizapp4,basic,13,0.000000146,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,wup1,super,4,0.000117655,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,wup2,super,4,0.000000146,0.95,distr1_highTyp,0.95,distr2_lowTyp,0.55
12,wup3,super,4,0.000117655,0.55,distr1_highTyp,0.95,distr2_lowTyp,0.55
