labeltype,item,meanresponse
sub,bla1,0.95
sub,bla2,0.95
sub,bla3,0.55
sub,bla4,0.55
sub,blahblahblah1,0.95
sub,blahblahblah2,0.95
sub,blahblahblah3,0.55
sub,blahblahblah4,0.55
basic,zap1,0.95
basic,zap2,0.95
basic,zap3,0.55
basic,zap4,0.55
basic,zappadhizapp1,0.95
basic,zappadhizapp2,0.95
basic,zappadhizapp3,0.55
basic,zappadhizapp4,0.55
super,wup1,0.95
super,wup2,0.95
super,wup3,0.55
super,wup4,0.55
super,wuppdeehwupp1,0.95
super,wuppdeehwupp2,0.95
super,wuppdeehwupp3,0.55
super,wuppdeehwupp4,0.55
distrClass1,distr1_lowTyp,0.55
distrClass1,distr1_highTyp,0.95
distrClass2,distr2_lowTyp,0.55
distrClass2,distr2_highTyp,0.95
distrClass3,distr3_lowTyp,0.55
distrClass3,distr3_highTyp,0.95
