gameid	 time	 roundNum	 condition	 nameClickedObj	 targetStatusClickedObj	 spLocsClickedObj	 lisLocsClickedObj	 alt1Name	 alt1TargetStatus	 alt1SpLocs	 alt1LisLocs	 alt2Name	 alt2TargetStatus	 alt2SpLocs	 alt2LisLocs 	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor
3075-1	1447690261822	1	filler	hotdog	target	1	1	clarinet	distractor	2	2	trumpet	distractor	3	3	1	1	0	food		1447690258020	food	False	False	False	hotdog	NA	NA
3075-1	1447690275510	2	filler	cactus	target	3	3	strawberry	distractor	2	1	zucchini	distractor	1	2	1	1	0	prickly		1447690269710	prickly	False	False	False	cactus	NA	NA
3075-1	1447690286709	3	filler	football	target	3	2	trumpet	distractor	2	3	strawberry	distractor	1	1	1	1	0	inflated		1447690285289	inflated	False	False	False	football	NA	NA
3075-1	1447690294037	4	colorAndSize	big_black_book	target	2	2	small_blue_book	distractor	1	3	small_blue_book	distractor	3	1	1	1	0	black		1447690292892	black	False	True	False	book	big	black
3075-1	1447690301765	5	sizeOnly	small_black_turtle	target	2	1	big_black_turtle	distractor	3	2	big_brown_turtle	distractor	1	3	1	1	0	smallest		1447690300103	smallest	False	False	False	turtle	small	black
3075-1	1447690309140	6	filler	motorcycle	target	2	2	snowflake	distractor	1	3	snake	distractor	3	1	1	1	0	transportation		1447690307830	transportation	False	False	False	motorcycle	NA	NA
3075-1	1447690321494	7	filler	eggplant	target	3	1	elephant	distractor	2	3	grapefruit	distractor	1	2	1	1	0	black		1447690319732	black	False	False	False	eggplant	NA	NA
3075-1	1447690344741	8	filler	clarinet	target	2	2	gloves	distractor	1	3	car	distractor	3	1	2	2	0	instrument___music		1447690326070___1447690341757	instrument	False	False	False	clarinet	NA	NA
3075-1	1447690353332	9	colorAndSize	big_orange_napkin	target	2	3	small_yellow_napkin	distractor	3	2	small_yellow_napkin	distractor	1	1	1	1	0	orange		1447690351740	orange	False	True	False	napkin	big	orange
3075-1	1447690360260	10	filler	strawberry	target	2	2	elephant	distractor	3	3	television	distractor	1	1	1	1	0	fruit		1447690356009	fruit	False	False	False	strawberry	NA	NA
3075-1	1447690366324	11	colorAndSize	big_red_yarn	target	2	1	small_purple_yarn	distractor	3	3	small_purple_yarn	distractor	1	2	1	1	0	red		1447690363110	red	False	True	False	yarn	big	red
3075-1	1447690374508	12	filler	lobster	target	1	1	carrot	distractor	3	3	pumpkin	distractor	2	2	1	1	0	seafood		1447690370567	seafood	False	False	False	lobster	NA	NA
3075-1	1447690380467	13	filler	sheep	target	2	3	tennisball	distractor	3	1	football	distractor	1	2	1	1	0	mammal		1447690378656	mammal	False	False	False	sheep	NA	NA
3075-1	1447690386621	14	colorOnly	small_brown_jacket	target	1	2	small_green_jacket	distractor	2	1	big_green_jacket	distractor	3	3	1	1	0	brown		1447690383541	brown	False	True	False	jacket	small	brown
3075-1	1447690400669	15	filler	grapefruit	target	1	2	cherries	distractor	2	3	violin	distractor	3	1	1	1	0	red with orange border		1447690398397	red with orange border	False	False	False	grapefruit	NA	NA
3075-1	1447690413428	16	sizeOnly	big_green_pepper	target	3	2	small_red_pepper	distractor	2	1	small_green_pepper	distractor	1	3	1	1	0	big green		1447690411541	big green	True	True	False	pepper	big	green
3075-1	1447690424115	17	filler	teddybear	target	1	1	crocodile	distractor	3	2	garbagecan	distractor	2	3	1	1	0	stuffed or cotton		1447690420404	stuffed or cotton	False	False	False	teddybear	NA	NA
3075-1	1447690430419	18	filler	cactus	target	3	2	toilet	distractor	1	1	garbagecan	distractor	2	3	1	1	0	prickly		1447690428417	prickly	False	False	False	cactus	NA	NA
3075-1	1447690443291	19	filler	television	target	3	2	carrot	distractor	2	1	football	distractor	1	3	2	2	0	something you watch___technology		1447690438355___1447690443146	something you watch	False	False	False	television	NA	NA
3075-1	1447690450250	20	filler	carrot	target	3	1	clarinet	distractor	1	3	hotdog	distractor	2	2	1	1	0	vegetable		1447690447910	vegetable	False	False	False	carrot	NA	NA
3075-1	1447690459098	21	colorOnly	small_red_bucket	target	1	2	small_pink_bucket	distractor	3	1	big_pink_bucket	distractor	2	3	1	1	0	red		1447690452689	red	False	True	False	bucket	small	red
3075-1	1447690473386	22	filler	snowflake	target	1	2	dresser	distractor	2	1	horse	distractor	3	3	2	2	0	drawing___cold		1447690463969___1447690468791	drawing	False	False	False	snowflake	NA	NA
3075-1	1447690486025	23	filler	tooth	target	1	2	camera	distractor	2	3	fox	distractor	3	1	1	1	0	dentist		1447690479336	dentist	False	False	False	tooth	NA	NA
3075-1	1447690507059	24	filler	sheep	target	3	2	smokedetector	distractor	1	3	flamingo	distractor	2	1	2	2	0	wool___farm animal		1447690491065___1447690501006	wool	False	False	False	sheep	NA	NA
3075-1	1447690526163	25	filler	raspberry	target	3	2	strawberry	distractor	2	3	banana	distractor	1	1	1	1	0	red fruit with an opening		1447690524638	red fruit with an opening	False	False	False	raspberry	NA	NA
3075-1	1447690539681	26	filler	broccoli	target	1	2	tophat	distractor	2	1	football	distractor	3	3	2	2	0	vegetable___green		1447690530714___1447690539545	vegetable	False	False	False	broccoli	NA	NA
3075-1	1447690550217	27	filler	piano	target	1	1	bear	distractor	2	2	tophat	distractor	3	3	1	1	0	music		1447690543538	music	False	False	False	piano	NA	NA
3075-1	1447690556409	28	filler	raspberry	target	1	3	garlic	distractor	2	2	mailbox	distractor	3	1	1	1	0	red		1447690554304	red	False	False	False	raspberry	NA	NA
3075-1	1447690566496	29	filler	garlic	target	1	2	santahat	distractor	3	3	toilet	distractor	2	1	1	1	0	vegetable		1447690562255	vegetable	False	False	False	garlic	NA	NA
3075-1	1447690579473	30	filler	fireextinguisher	target	1	3	kitten	distractor	2	2	television	distractor	3	1	1	1	0	fire safety		1447690573087	fire safety	False	False	False	fireextinguisher	NA	NA
3075-1	1447690586257	31	colorOnly	small_blue_rug	target	3	2	small_purple_rug	distractor	1	3	big_purple_rug	distractor	2	1	1	1	0	blue		1447690582712	blue	False	True	False	rug	small	blue
3075-1	1447690594088	32	colorAndSize	small_green_avocado	target	1	1	big_black_avocado	distractor	3	3	big_black_avocado	distractor	2	2	1	1	0	green		1447690588465	green	False	True	False	avocado	small	green
3075-1	1447690601136	33	filler	lobster	target	2	1	smokedetector	distractor	3	2	iguana	distractor	1	3	1	1	0	seafood		1447690598000	seafood	False	False	False	lobster	NA	NA
3075-1	1447690611064	34	filler	snowflake	target	1	2	rhinoceros	distractor	2	1	kiwi	distractor	3	3	1	1	0	cold, drawing		1447690607978	cold, drawing	False	False	False	snowflake	NA	NA
