alpha;colorCost;target;modelPrediction;uttType
0;-3;a;1;colorOnly
2;-1.5;b;2;colorOnly
0;0;c;1;colorOnly
2;-3;d;2;colorOnly
0;-1.5;e;1;colorOnly
2;0;a;2;colorOnly
0;-3;b;1;colorOnly
2;-1.5;c;2;colorOnly
0;0;d;1;colorOnly
2;-3;e;2;colorOnly
0;-1.5;a;1;colorOnly
2;0;b;2;colorOnly
0;-3;c;1;colorOnly
2;-1.5;d;2;colorOnly
0;0;e;1;colorOnly
2;-3;a;2;colorOnly
0;-1.5;b;1;colorOnly
2;0;c;2;colorOnly
0;-3;d;1;colorOnly
2;-1.5;e;2;colorOnly
0;0;a;1;colorOnly
2;-3;b;2;colorOnly
0;-1.5;c;1;colorOnly
2;0;d;2;colorOnly
0;-3;e;1;colorOnly
2;-1.5;a;2;colorOnly
0;0;b;1;colorOnly
2;-3;c;2;colorOnly
0;-1.5;d;1;colorOnly
2;0;e;2;colorOnly
0;-3;a;1;colorOnly
2;-1.5;b;2;colorOnly
0;0;c;1;colorOnly
2;-3;d;2;colorOnly
0;-1.5;e;1;colorOnly
2;0;a;2;colorOnly
0;-3;b;1;colorOnly
2;-1.5;c;2;colorOnly
0;0;d;1;colorOnly
2;-3;e;2;colorOnly
0;-1.5;a;1;colorOnly
0;0;b;2;colorOnly
2;-3;c;1;colorOnly
0;-1.5;d;2;colorOnly
2;0;e;1;colorOnly
0;-3;a;2;colorOnly
2;-1.5;b;1;colorOnly
0;0;c;2;colorOnly
2;-3;d;1;colorOnly
0;-1.5;e;2;colorOnly
2;0;a;1;colorOnly
0;-3;b;2;colorOnly
2;-1.5;c;1;colorOnly
0;0;d;2;colorOnly
2;-3;e;1;colorOnly
0;-1.5;a;2;colorOnly
2;0;b;1;colorOnly
0;-3;c;2;colorOnly
2;-1.5;d;1;colorOnly
0;0;e;2;colorOnly
2;-3;a;1;colorOnly
0;-1.5;b;2;colorOnly
2;0;c;1;colorOnly
0;-3;d;2;colorOnly
