gameid; time; roundNum; trialType; condition; nameClickedObj; targetStatusClickedObj; spLocsClickedObj; lisLocsClickedObj; basiclevelClickedObj; superdomainClickedObj; alt1Name; alt1TargetStatus; alt1SpLocs; alt1LisLocs; alt1Basiclevel; alt1superdomain; alt2Name; alt2TargetStatus; alt2SpLocs; alt2LisLocs; alt2Basiclevel; alt2superdomain;numMessages;numSMessages;numLMessages;speakerMessages;listenerMessages;messageTimeStamps;refExp;sizeMentioned;colorMentioned;typeMentioned;otherFeatureMentioned;basiclevelMentioned;superClassMentioned;superclassattributeMentioned;utteranceContracted;oneMentioned;theMentioned;clickedType;clickedSize;clickedColor;colorPreNominal;sizePreNominal;;notes;;;alt1TypeLabelTest;alt1BLLabelTest;alt1DomainLabelTest;alt2TypeLabelTest;alt2BLLabelTest;alt2DomainLabelTest
4517-f;1.45E+12;7;subSuperTrial;distr12;goldFish;target;2;3;fish;animal;discusFish;distrClass1;3;4;fish;animal;bison;distrClass2;4;2;NA;animal;2;2;0;im confused this is so easy___goldfish;;1449255199408___1449255200217;im confused this is so easy;FALSE;FALSE;TRUE;;;;;;;;goldFish;NA;NA;;;;;;;NA;NA;NA;bison, goldFish;bison, fish;bison, animal
2919-a;1.45E+12;27;subSuperTrial;distr12;pug;target;3;3;dog;animal;greyhound;distrClass1;4;2;dog;animal;bison;distrClass2;2;4;NA;animal;1;1;0;pug;;1.45E+12;pug;FALSE;FALSE;TRUE;;;;;;;;pug;NA;NA;;;;;;;NA;NA;NA;bison, pug;bison, dog;bison, animal
5076-0;1.45E+12;2;subSuperTrial;distr12;parrot;target;3;3;bird;animal;sparrow;distrClass1;4;2;bird;animal;bison;distrClass2;2;4;NA;animal;2;1;1;It is the most colorful;GOT IT;1449254431693___1449254434559;It is the most colorful;FALSE;FALSE;FALSE;TRUE;;;;;;TRUE;parrot;NA;NA;;;;;;;NA;NA;NA;bison, parrot;bison, bird;bison, animal
2195-2;1.45E+12;10;subSuperTrial;distr12;minivan;target;4;2;car;vehicle;sedan;distrClass1;3;4;car;vehicle;ambulance;distrClass2;2;3;NA;vehicle;1;1;0;WHITE VAN;;1.45E+12;WHITE VAN;FALSE;TRUE;TRUE;;;;;;;;minivan;NA;NA;;;;;;;NA;NA;NA;ambulance, minivan;ambulance, car;ambulance, vehicle
5934-3;1.45E+12;56;subSuperTrial;distr12;convertible;target;4;3;car;vehicle;sedan;distrClass1;3;4;car;vehicle;ambulance;distrClass2;2;2;NA;vehicle;3;3;0;yeah;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;ambulance, convertible;ambulance, car;ambulance, vehicle
5934-3;1.45E+12;66;subSuperTrial;distr12;swordFish;target;4;2;fish;animal;discusFish;distrClass1;2;4;fish;animal;bison;distrClass2;3;3;NA;animal;2;2;0;my aunt has an African grey;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;bison, swordFish;bison, fish;bison, animal
9807-5;1.45E+12;29;subSuperTrial;distr12;skittles;target;4;2;candy;snack;candyCorn;distrClass1;2;3;candy;snack;cookies;distrClass2;3;4;NA;snack;1;1;0;skittles;;1.45E+12;skittles;FALSE;FALSE;TRUE;;;;;;;;skittles;NA;NA;;;;;;;NA;NA;NA;cookies, skittles;cookies, candy;cookies, snack
1223-7;1.45E+12;55;subSuperTrial;distr12;catfish;target;2;3;fish;animal;discusFish;distrClass1;3;4;fish;animal;cow;distrClass2;4;2;NA;animal;1;1;0;cat fish;;1.45E+12;cat fish;FALSE;FALSE;TRUE;;;;;;;;catfish;NA;NA;;;;;;;NA;NA;NA;cow, catfish;cow, fish;cow, animal
4517-f;1.45E+12;11;subSuperTrial;distr12;polarBear;target;3;4;bear;animal;koalaBear;distrClass1;2;2;bear;animal;cow;distrClass2;4;3;NA;animal;1;1;0;polar bear;;1.45E+12;polar bear;FALSE;FALSE;TRUE;;;;;;;;polarBear;NA;NA;;;;;;;NA;NA;NA;cow, polarBear;cow, bear;cow, animal
2195-2;1.45E+12;72;subSuperTrial;distr12;pigeon;target;3;4;bird;animal;sparrow;distrClass1;2;2;bird;animal;crocodile;distrClass2;4;3;NA;animal;1;1;0;PIGEON;;1.45E+12;PIGEON;FALSE;FALSE;TRUE;;;;;;;;pigeon;NA;NA;;;;;;;NA;NA;NA;crocodile, pigeon;crocodile, bird;crocodile, animal
8258-f;1.45E+12;24;subSuperTrial;distr12;pandaBear;target;3;4;bear;animal;koalaBear;distrClass1;4;3;bear;animal;elephant;distrClass2;2;2;NA;animal;1;1;0;panda;;1.45E+12;panda;FALSE;FALSE;TRUE;;;;;;;;pandaBear;NA;NA;;;;;;;NA;NA;NA;elephant, pandaBear;elephant, bear;elephant, animal
8258-f;1.45E+12;49;subSuperTrial;distr12;eagle;target;3;2;bird;animal;sparrow;distrClass1;2;3;bird;animal;elephant;distrClass2;4;4;NA;animal;2;2;0;eagle___eagle;;1449254733149___1449254734173;eagle;FALSE;FALSE;TRUE;;;;;;;;eagle;NA;NA;;;;;;;NA;NA;NA;elephant, eagle;elephant, bird;elephant, animal
5239-5;1.45E+12;36;subSuperTrial;distr12;convertible;target;3;2;car;vehicle;sedan;distrClass1;2;4;car;vehicle;firetruck;distrClass2;4;3;NA;vehicle;1;1;0;silver one;;1.45E+12;silver one;FALSE;TRUE;FALSE;;;;;;TRUE;;convertible;NA;NA;;;;;;;NA;NA;NA;firetruck, convertible;firetruck, car;firetruck, vehicle
4452-5;1.45E+12;50;subSuperTrial;distr12;rose;target;2;3;flower;plant;lily;distrClass1;3;4;flower;plant;grasses;distrClass2;4;2;NA;plant;1;1;0;rose;;1.45E+12;rose;FALSE;FALSE;TRUE;;;;;;;;rose;NA;NA;;;;;;;NA;NA;NA;grasses, rose;grasses, flower;grasses, plant
5628-2;1.45E+12;33;subSuperTrial;distr12;sunflower;target;3;2;flower;plant;lily;distrClass1;4;3;flower;plant;grasses;distrClass2;2;4;NA;plant;1;1;0;yellow;;1.45E+12;yellow;FALSE;TRUE;FALSE;;;;;;;;sunflower;NA;NA;;;;;;;NA;NA;NA;grasses, sunflower;grasses, flower;grasses, plant
3293-5;1.45E+12;3;subSuperTrial;distr12;germanShepherd;target;4;3;dog;animal;greyhound;distrClass1;3;2;dog;animal;lion;distrClass2;2;4;NA;animal;5;3;2;dog___black___pointy;there are 2___tell me about the ears;1449256239712___1449256256785___1449256259118___1449256278376___1449256287527;dog;FALSE;TRUE;FALSE;TRUE;TRUE;;;;;;germanShepherd;NA;NA;;;;;;;NA;NA;NA;lion, germanShepherd;lion, dog;lion, animal
5975-e;1.45E+12;6;subSuperTrial;distr12;daisy;target;4;2;flower;plant;lily;distrClass1;3;4;flower;plant;rosemary;distrClass2;2;3;NA;plant;1;1;0;fower with yellow center;;1.45E+12;fower with yellow center;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;;daisy;NA;NA;;;;;;;NA;NA;NA;rosemary, daisy;rosemary, flower;rosemary, plant
7111-e;1.45E+12;9;subSuperTrial;distr12;grizzlyBear;target;2;3;bear;animal;koalaBear;distrClass1;4;2;bear;animal;sheep;distrClass2;3;4;NA;animal;1;1;0;brown meanie;;1.45E+12;brown meanie;FALSE;TRUE;FALSE;TRUE;;;;;;;grizzlyBear;NA;NA;;;;;;;NA;NA;NA;sheep, grizzlyBear;sheep, bear;sheep, animal
2195-2;1.45E+12;51;subSuperTrial;distr12;bedsideTable;target;2;2;table;furniture;sideTable;distrClass1;4;4;table;furniture;wardrobe;distrClass2;3;3;NA;furniture;1;1;0;DRAWERS;;1.45E+12;DRAWERS;FALSE;FALSE;FALSE;TRUE;;;;;;;bedsideTable;NA;NA;;;;;;;NA;NA;NA;wardrobe, bedsideTable;wardrobe, table;wardrobe, furniture
0198-d;1.45E+12;28;subSuperTrial;distr12;coffeeTable;target;4;4;table;furniture;sideTable;distrClass1;3;2;table;furniture;bookcase;distrClass2;2;3;NA;furniture;1;1;0;short table;;1.45E+12;short table;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;;coffeeTable;NA;NA;;;;;;;NA;NA;NA;bookcase, coffeeTable;bookcase, table;bookcase, furniture
3504-8;1.45E+12;51;subSuperTrial;distr12;picnicTable;target;2;2;table;furniture;sideTable;distrClass1;4;3;table;furniture;bookcase;distrClass2;3;4;NA;furniture;1;1;0;picnic table;;1.45E+12;picnic table;FALSE;FALSE;TRUE;;;;;;;;picnicTable;NA;NA;;;;;;;NA;NA;NA;bookcase, picnicTable;bookcase, table;bookcase, furniture
7830-a;1.45E+12;35;subSuperTrial;distr12;coffeeTable;target;4;3;table;furniture;sideTable;distrClass1;3;4;table;furniture;bookcase;distrClass2;2;2;NA;furniture;1;1;0;coffee;;1.45E+12;coffee;FALSE;FALSE;TRUE;;;;;TRUE;;;coffeeTable;NA;NA;;;;;;;NA;NA;NA;bookcase, coffeeTable;bookcase, table;bookcase, furniture
2195-2;1.45E+12;17;subSuperTrial;distr12;husky;target;2;2;dog;animal;greyhound;distrClass1;3;4;dog;animal;chick;distrClass2;4;3;NA;animal;1;1;0;WOLF;;1.45E+12;WOLF;FALSE;FALSE;TRUE;;;;;;;;husky;NA;NA;;;;;;;NA;NA;NA;chick, husky;chick, dog;chick, animal
3293-5;1.45E+12;47;subSuperTrial;distr12;mnMs;target;4;2;candy;snack;candyCorn;distrClass1;3;4;candy;snack;chips;distrClass2;2;3;NA;snack;1;1;0;m & m;;1.45E+12;m & m;FALSE;FALSE;TRUE;;;;;;;;mnMs;NA;NA;;;;;;;NA;NA;NA;chips, mnMs;chips, candy;chips, snack
8935-b;1.45E+12;11;subSuperTrial;distr12;gummyBears;target;4;3;candy;snack;candyCorn;distrClass1;3;2;candy;snack;chips;distrClass2;2;4;NA;snack;1;1;0;Rainbow;;1.45E+12;Rainbow;FALSE;FALSE;FALSE;TRUE;;;;;;;gummyBears;NA;NA;;;;;;;NA;NA;NA;chips, gummyBears;chips, candy;chips, snack
0198-d;1.45E+12;40;subSuperTrial;distr12;grizzlyBear;target;3;4;bear;animal;koalaBear;distrClass1;4;2;bear;animal;cow;distrClass2;2;3;NA;animal;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;grizzlyBear;NA;NA;;;;;;;NA;NA;NA;cow, grizzlyBear;cow, bear;cow, animal
5975-e;1.45E+12;36;subSuperTrial;distr12;hawaiiShirt;target;2;4;shirt;clothing;campShirt;distrClass1;4;2;shirt;clothing;dress;distrClass2;3;3;NA;clothing;1;1;0;hawiian;;1.45E+12;hawiian;FALSE;FALSE;TRUE;;;;;TRUE;;;hawaiiShirt;NA;NA;;;;;;;NA;NA;NA;dress, hawaiiShirt;dress, shirt;dress, clothing
6456-4;1.45E+12;32;subSuperTrial;distr12;sportsCar;target;2;2;car;vehicle;sedan;distrClass1;3;4;car;vehicle;firetruck;distrClass2;4;3;NA;vehicle;1;1;0;silver car;;1.45E+12;silver car;FALSE;TRUE;FALSE;;TRUE;;;;;;sportsCar;NA;NA;;;;;;;NA;NA;NA;firetruck, sportsCar;firetruck, car;firetruck, vehicle
4452-5;1.45E+12;26;subSuperTrial;distr12;sportsCar;target;4;2;car;vehicle;sedan;distrClass1;3;4;car;vehicle;firetruck;distrClass2;2;3;NA;vehicle;1;1;0;silver sportscar;;1.45E+12;silver sportscar;FALSE;TRUE;TRUE;;;;;;;;sportsCar;NA;NA;;;;;;;NA;NA;NA;firetruck, sportsCar;firetruck, car;firetruck, vehicle
9807-5;1.45E+12;14;subSuperTrial;distr12;poloShirt;target;2;3;shirt;clothing;campShirt;distrClass1;3;2;shirt;clothing;gloves;distrClass2;4;4;NA;clothing;1;1;0;polo shirt;;1.45E+12;polo shirt;FALSE;FALSE;TRUE;;;;;;;;poloShirt;NA;NA;;;;;;;NA;NA;NA;gloves, poloShirt;gloves, shirt;gloves, clothing
2919-a;1.45E+12;53;subSuperTrial;distr12;daisy;target;2;3;flower;plant;lily;distrClass1;4;4;flower;plant;grasses;distrClass2;3;2;NA;plant;1;1;0;yellow middle;;1.45E+12;yellow middle;FALSE;TRUE;FALSE;;;;;;;;daisy;NA;NA;;;;;;;NA;NA;NA;grasses, daisy;grasses, flower;grasses, plant
8684-3;1.45E+12;21;subSuperTrial;distr12;clownFish;target;2;3;fish;animal;discusFish;distrClass1;3;4;fish;animal;horse;distrClass2;4;2;NA;animal;1;1;0;has a white stripe behind face;;1.45E+12;has a white stripe behind face;FALSE;FALSE;FALSE;TRUE;;;;;;;clownFish;NA;NA;;;;;;;NA;NA;NA;horse, clownFish;horse, fish;horse, animal
3695-5;1.45E+12;45;subSuperTrial;distr12;goldFish;target;2;2;fish;animal;discusFish;distrClass1;4;4;fish;animal;horse;distrClass2;3;3;NA;animal;1;1;0;goldfish;;1.45E+12;goldfish;FALSE;FALSE;TRUE;;;;;;;;goldFish;NA;NA;;;;;;;NA;NA;NA;horse, goldFish;horse, fish;horse, animal
0198-d;1.45E+12;53;subSuperTrial;distr12;catfish;target;4;3;fish;animal;discusFish;distrClass1;3;4;fish;animal;iguana;distrClass2;2;2;NA;animal;1;1;0;catfish;;1.45E+12;catfish;FALSE;FALSE;TRUE;;;;;;;;catfish;NA;NA;;;;;;;NA;NA;NA;iguana, catfish;iguana, fish;iguana, animal
8684-3;1.45E+12;42;subSuperTrial;distr12;pigeon;target;3;3;bird;animal;sparrow;distrClass1;4;2;bird;animal;iguana;distrClass2;2;4;NA;animal;1;1;0;flies and white/grey;;1.45E+12;flies and white/grey;FALSE;TRUE;FALSE;;;;TRUE;;;;pigeon;NA;NA;;;;;;;NA;NA;NA;iguana, pigeon;iguana, bird;iguana, animal
4842-f;1.45E+12;15;subSuperTrial;distr12;goldFish;target;2;4;fish;animal;discusFish;distrClass1;3;3;fish;animal;kitten;distrClass2;4;2;NA;animal;1;1;0;sometimes get flushed;;1.45E+12;sometimes get flushed;FALSE;FALSE;FALSE;TRUE;;;;;;;goldFish;NA;NA;;;;;;;NA;NA;NA;kitten, goldFish;kitten, fish;kitten, animal
5628-2;1.45E+12;70;subSuperTrial;distr12;pandaBear;target;3;3;bear;animal;koalaBear;distrClass1;2;4;bear;animal;kitten;distrClass2;4;2;NA;animal;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;pandaBear;NA;NA;;;;;;;NA;NA;NA;kitten, pandaBear;kitten, bear;kitten, animal
3695-5;1.45E+12;25;subSuperTrial;distr12;sportsCar;target;4;3;car;vehicle;sedan;distrClass1;3;2;car;vehicle;motorcycle;distrClass2;2;4;NA;vehicle;1;1;0;silver car;;1.45E+12;silver car;FALSE;TRUE;FALSE;;TRUE;;;;;;sportsCar;NA;NA;;;;;;;NA;NA;NA;motorcycle, sportsCar;motorcycle, car;motorcycle, vehicle
2919-a;1.45E+12;31;subSuperTrial;distr12;clownFish;target;3;4;fish;animal;discusFish;distrClass1;2;2;fish;animal;pig;distrClass2;4;3;NA;animal;1;1;0;nemo - clown fish;;1.45E+12;nemo - clown fish;FALSE;FALSE;TRUE;;;;;;;;clownFish;NA;NA;;;;;;;NA;NA;NA;pig, clownFish;pig, fish;pig, animal
4452-5;1.45E+12;59;subSuperTrial;distr12;germanShepherd;target;3;3;dog;animal;greyhound;distrClass1;2;4;dog;animal;pig;distrClass2;4;2;NA;animal;4;2;2;blackish dog___yeah that's it;the sheperd?___or whippet;1449254922593___1449254932610___1449254937373___1449254939322;blackish dog;FALSE;TRUE;FALSE;;TRUE;;;;;;germanShepherd;NA;NA;;;;;;;NA;NA;NA;pig, germanShepherd;pig, dog;pig, animal
5975-e;1.45E+12;14;subSuperTrial;distr12;gummyBears;target;3;3;candy;snack;candyCorn;distrClass1;2;4;candy;snack;popcorn;distrClass2;4;2;NA;snack;1;1;0;gummies;;1.45E+12;gummies;FALSE;FALSE;TRUE;;;;;TRUE;;;gummyBears;NA;NA;;;;;;;NA;NA;NA;popcorn, gummyBears;popcorn, candy;popcorn, snack
8430-f;1.45E+12;7;subSuperTrial;distr12;jellyBeans;target;4;2;candy;snack;candyCorn;distrClass1;3;3;candy;snack;popcorn;distrClass2;2;4;NA;snack;1;1;0;jelly beans;;1.45E+12;jelly beans;FALSE;FALSE;TRUE;;;;;;;;jellyBeans;NA;NA;;;;;;;NA;NA;NA;popcorn, jellyBeans;popcorn, candy;popcorn, snack
4517-f;1.45E+12;4;subSuperTrial;distr12;rose;target;4;4;flower;plant;lily;distrClass1;2;2;flower;plant;pottedPlant;distrClass2;3;3;NA;plant;1;1;0;red rose;;1.45E+12;red rose;FALSE;TRUE;TRUE;;;;;;;;rose;NA;NA;;;;;;;NA;NA;NA;pottedPlant, rose;pottedPlant, flower;pottedPlant, plant
5512-7;1.45E+12;28;subSuperTrial;distr12;tulip;target;4;2;flower;plant;lily;distrClass1;3;4;flower;plant;pottedPlant;distrClass2;2;3;NA;plant;1;1;0;tulip;;1.45E+12;tulip;FALSE;FALSE;TRUE;;;;;;;;tulip;NA;NA;;;;;;;NA;NA;NA;pottedPlant, tulip;pottedPlant, flower;pottedPlant, plant
6456-4;1.45E+12;8;subSuperTrial;distr12;mnMs;target;3;2;candy;snack;candyCorn;distrClass1;2;4;candy;snack;pretzels;distrClass2;4;3;NA;snack;1;1;0;m m;;1.45E+12;m m;FALSE;FALSE;TRUE;;;;;;;;mnMs;NA;NA;;;;;;;NA;NA;NA;pretzels, mnMs;pretzels, candy;pretzels, snack
8430-f;1.45E+12;1;subSuperTrial;distr12;pandaBear;target;4;4;bear;animal;koalaBear;distrClass1;2;2;bear;animal;rabbit;distrClass2;3;3;NA;animal;1;1;0;panda;;1.45E+12;panda;FALSE;FALSE;TRUE;;;;;;;;pandaBear;NA;NA;;;;;;;NA;NA;NA;rabbit, pandaBear;rabbit, bear;rabbit, animal
3695-5;1.45E+12;20;subSuperTrial;distr12;hummingBird;target;3;4;bird;animal;sparrow;distrClass1;2;2;bird;animal;rabbit;distrClass2;4;3;NA;animal;1;1;0;flying bird;;1.45E+12;flying bird;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;;hummingBird;NA;NA;;;;;;;NA;NA;NA;rabbit, hummingBird;rabbit, bird;rabbit, animal
5076-0;1.45E+12;30;subSuperTrial;distr12;goldFish;target;4;3;fish;animal;discusFish;distrClass1;3;4;fish;animal;sheep;distrClass2;2;2;NA;animal;1;1;0;Goldfish;;1.45E+12;Goldfish;FALSE;FALSE;TRUE;;;;;;;;goldFish;NA;NA;;;;;;;NA;NA;NA;sheep, goldFish;sheep, fish;sheep, animal
7830-a;1.45E+12;1;subSuperTrial;distr12;catfish;target;2;4;fish;animal;discusFish;distrClass1;3;2;fish;animal;sheep;distrClass2;4;3;NA;animal;1;1;0;cat;;1.45E+12;cat;FALSE;FALSE;TRUE;;;;;TRUE;;;catfish;NA;NA;;;;;;;NA;NA;NA;sheep, catfish;sheep, fish;sheep, animal
5076-0;1.45E+12;45;subSuperTrial;distr12;clownFish;target;4;2;fish;animal;discusFish;distrClass1;2;3;fish;animal;snake;distrClass2;3;4;NA;animal;1;1;0;Clown fish;;1.45E+12;Clown fish;FALSE;FALSE;TRUE;;;;;;;;clownFish;NA;NA;;;;;;;NA;NA;NA;snake, clownFish;snake, fish;snake, animal
4452-5;1.45E+12;15;subSuperTrial;distr12;husky;target;3;3;dog;animal;greyhound;distrClass1;2;4;dog;animal;snake;distrClass2;4;2;NA;animal;1;1;0;husky;;1.45E+12;husky;FALSE;FALSE;TRUE;;;;;;;;husky;NA;NA;;;;;;;NA;NA;NA;snake, husky;snake, dog;snake, animal
9807-5;1.45E+12;58;subSuperTrial;distr12;eagle;target;3;2;bird;animal;sparrow;distrClass1;2;3;bird;animal;snake;distrClass2;4;4;NA;animal;1;1;0;egle;;1.45E+12;egle;FALSE;FALSE;TRUE;;;;;;;;eagle;NA;NA;;;;;;;NA;NA;NA;snake, eagle;snake, bird;snake, animal
4842-f;1.45E+12;47;subSuperTrial;distr12;tShirt;target;4;2;shirt;clothing;campShirt;distrClass1;3;3;shirt;clothing;socks;distrClass2;2;4;NA;clothing;1;1;0;basic tee;;1.45E+12;basic tee;FALSE;FALSE;TRUE;;;;;;;;tShirt;NA;NA;;;;;;;NA;NA;NA;socks, tShirt;socks, shirt;socks, clothing
8684-3;1.45E+12;23;subSuperTrial;distr12;bedsideTable;target;3;2;table;furniture;sideTable;distrClass1;4;3;table;furniture;wardrobe;distrClass2;2;4;NA;furniture;1;1;0;has 2 drawers;;1.45E+12;has 2 drawers;FALSE;FALSE;FALSE;TRUE;;;;;;;bedsideTable;NA;NA;;;;;;;NA;NA;NA;wardrobe, bedsideTable;wardrobe, table;wardrobe, furniture
0198-d;1.45E+12;27;subSuperTrial;distr12;parrot;target;4;4;bird;animal;sparrow;distrClass1;2;3;bird;animal;chick;distrClass2;3;2;NA;animal;1;1;0;parrot;;1.45E+12;parrot;FALSE;FALSE;TRUE;;;;;;;;parrot;NA;NA;;;;;;;NA;NA;NA;chick, parrot;chick, bird;chick, animal
8430-f;1.45E+12;19;subSuperTrial;distr12;skittles;target;2;2;candy;snack;candyCorn;distrClass1;4;3;candy;snack;chips;distrClass2;3;4;NA;snack;1;1;0;skittles;;1.45E+12;skittles;FALSE;FALSE;TRUE;;;;;;;;skittles;NA;NA;;;;;;;NA;NA;NA;chips, skittles;chips, candy;chips, snack
7830-a;1.45E+12;12;subSuperTrial;distr12;gummyBears;target;3;4;candy;snack;candyCorn;distrClass1;2;3;candy;snack;chips;distrClass2;4;2;NA;snack;1;1;0;gummy;;1.45E+12;gummy;FALSE;FALSE;TRUE;;;;;TRUE;;;gummyBears;NA;NA;;;;;;;NA;NA;NA;chips, gummyBears;chips, candy;chips, snack
2919-a;1.45E+12;41;subSuperTrial;distr12;gummyBears;target;3;2;candy;snack;candyCorn;distrClass1;2;3;candy;snack;chips;distrClass2;4;4;NA;snack;1;1;0;gummy bears;;1.45E+12;gummy bears;FALSE;FALSE;TRUE;;;;;;;;gummyBears;NA;NA;;;;;;;NA;NA;NA;chips, gummyBears;chips, candy;chips, snack
3158-b;1.45E+12;14;subSuperTrial;distr12;blackBear;target;3;4;bear;animal;koalaBear;distrClass1;4;3;bear;animal;cow;distrClass2;2;2;NA;animal;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;blackBear;NA;NA;;;;;;;NA;NA;NA;cow, blackBear;cow, bear;cow, animal
5975-e;1.45E+12;54;subSuperTrial;distr12;blackBear;target;4;3;bear;animal;koalaBear;distrClass1;3;2;bear;animal;cow;distrClass2;2;4;NA;animal;1;1;0;black solid;;1.45E+12;black solid;FALSE;TRUE;FALSE;;;;;;;;blackBear;NA;NA;;;;;;;NA;NA;NA;cow, blackBear;cow, bear;cow, animal
5076-0;1.45E+12;17;subSuperTrial;distr12;grizzlyBear;target;4;3;bear;animal;koalaBear;distrClass1;2;2;bear;animal;crocodile;distrClass2;3;4;NA;animal;1;1;0;Large and furry;;;;TRUE;;;TRUE;;;;;;;;;;;;;;;;NA;NA;NA;crocodile, grizzlyBear;crocodile, bear;crocodile, animal
