gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superClassMentioned,superSuperClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
4452-5,1.44925E+12,11,colorSizeTrial,sizeOnly4Distr1Same,small_purple_bike,target,2,4,NA,NA,big_red_bike,distractor,3,3,NA,NA,big_purple_bike,distractor,5,5,NA,NA,big_red_bike,distractor,4,2,NA,NA,big_red_bike,distractor,1,1,NA,NA,1,1,0,smallest bike,,1.44925E+12,smallest bike,TRUE,FALSE,TRUE,,,,,,,,bike,small,purple,,,,
4452-5,1.44925E+12,12,colorSizeTrial,colorOnly4Distr3Same,big_orange_cushion,target,4,2,NA,NA,big_blue_cushion,distractor,2,3,NA,NA,small_blue_cushion,distractor,3,1,NA,NA,big_blue_cushion,distractor,1,5,NA,NA,big_blue_cushion,distractor,5,4,NA,NA,1,1,0,big pillow,,,,TRUE,,TRUE,,,,,,,,,,,,,,
4452-5,1.44925E+12,13,colorSizeTrial,colorOnly2Distr1Same,big_orange_cap,target,3,2,NA,NA,blackStimulus,NA,1,1,NA,NA,big_blue_cap,distractor,4,4,NA,NA,small_blue_cap,distractor,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,bigger hat,,,,TRUE,,TRUE,,,,,,,,,,,,,,
4452-5,1.44925E+12,14,colorSizeTrial,sizeOnly3Distr1Same,big_red_toothbrush,target,2,1,NA,NA,small_blue_toothbrush,distractor,4,3,NA,NA,small_blue_toothbrush,distractor,1,2,NA,NA,small_red_toothbrush,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,biggest toothbrush,,1.44925E+12,biggest toothbrush,TRUE,FALSE,TRUE,,,,,,,,toothbrush,big,red,,,,
4452-5,1.44925E+12,15,subSuperTrial,distr12,husky,target,3,3,dog,animal,blackStimulus,NA,1,1,NA,NA,greyhound,distrClass1,2,4,dog,animal,snake,distrClass2,4,2,NA,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,husky,,1.44925E+12,husky,FALSE,FALSE,TRUE,,,,,,,,husky,NA,NA,,,,
4452-5,1.44925E+12,16,colorSizeTrial,sizeOnly3Distr2Same,big_green_bracelet,target,4,3,NA,NA,small_green_bracelet,distractor,2,1,NA,NA,small_green_bracelet,distractor,1,4,NA,NA,small_purple_bracelet,distractor,3,2,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,biggest bracelet,,1.44925E+12,biggest bracelet,TRUE,FALSE,TRUE,,,,,,,,bracelet,big,green,,,,
4452-5,1.44925E+12,17,colorSizeTrial,sizeOnly2Distr1Same,big_blue_ornament,target,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,small_blue_ornament,distractor,2,3,NA,NA,small_purple_ornament,distractor,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,biggest ornament,,1.44925E+12,biggest ornament,TRUE,FALSE,TRUE,,,,,,,,ornament,big,blue,,,,
4452-5,1.44925E+12,18,colorSizeTrial,colorOnly3Distr3Same,small_yellow_balloon,target,1,2,NA,NA,small_pink_balloon,distractor,4,3,NA,NA,small_pink_balloon,distractor,3,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_pink_balloon,distractor,2,4,NA,NA,1,1,0,the one balloon that's not the same color as the rest,,1.44925E+12,the one balloon that's not the same color as the rest,FALSE,TRUE,TRUE,TRUE,,,,,,,balloon,small,yellow,,,,
4452-5,1.44925E+12,19,subSuperTrial,distr33,hummingBird,target,3,4,bird,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,train,distrClass3,4,3,NA,vehicle,firetruck,distrClass3,2,2,NA,vehicle,1,1,0,bird,,1.44925E+12,bird,FALSE,FALSE,FALSE,,TRUE,,,,,,hummingBird,NA,NA,,,,
4452-5,1.44925E+12,20,colorSizeTrial,sizeOnly3Distr3Same,small_white_phone,target,3,2,NA,NA,big_white_phone,distractor,2,3,NA,NA,big_white_phone,distractor,4,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_white_phone,distractor,1,4,NA,NA,1,1,0,smallest phone,,1.44925E+12,smallest phone,TRUE,FALSE,TRUE,,,,,,,,phone,small,white,,,,
4452-5,1.44925E+12,21,colorSizeTrial,sizeOnly3Distr1Same,big_black_turtle,target,2,2,NA,NA,small_brown_turtle,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_black_turtle,distractor,3,1,NA,NA,small_brown_turtle,distractor,1,3,NA,NA,1,1,0,biggest turtle,,1.44925E+12,biggest turtle,TRUE,FALSE,TRUE,,,,,,,,turtle,big,black,,,,
4452-5,1.44925E+12,22,colorSizeTrial,colorOnly3Distr1Same,small_purple_butterfly,target,1,3,NA,NA,small_blue_butterfly,distractor,4,2,NA,NA,big_blue_butterfly,distractor,2,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_blue_butterfly,distractor,3,4,NA,NA,1,1,0,smaller butterfly that's not the same color as the rest,,1.44925E+12,smaller butterfly that's not the same color as the rest,TRUE,TRUE,TRUE,,,,,,,,butterfly,small,purple,,,,
4452-5,1.44925E+12,23,colorSizeTrial,colorOnly3Distr2Same,big_red_tack,target,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_blue_tack,distractor,3,3,NA,NA,small_blue_tack,distractor,2,4,NA,NA,big_blue_tack,distractor,4,2,NA,NA,1,1,0,different colored pushpin,,1.44925E+12,different colored pushpin,FALSE,TRUE,TRUE,,,,,,,,tack,big,red,,,,
4452-5,1.44925E+12,24,subSuperTrial,distr22,parrot,target,2,2,bird,animal,blackStimulus,NA,5,5,NA,NA,lion,distrClass2,3,4,NA,animal,crocodile,distrClass2,4,3,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,parrot,,1.44925E+12,parrot,FALSE,FALSE,TRUE,,,,,,,,parrot,NA,NA,,,,
4452-5,1.44925E+12,25,subSuperTrial,distr22,minivan,target,3,3,car,vehicle,blackStimulus,NA,1,1,NA,NA,firetruck,distrClass2,4,4,NA,vehicle,blackStimulus,NA,5,5,NA,NA,motorcycle,distrClass2,2,2,NA,vehicle,1,1,0,van,,1.44925E+12,van,FALSE,FALSE,TRUE,,,,,TRUE,,,minivan,NA,NA,,,,
4452-5,1.44925E+12,26,subSuperTrial,distr12,sportsCar,target,4,2,car,vehicle,blackStimulus,NA,5,5,NA,NA,sedan,distrClass1,3,4,car,vehicle,firetruck,distrClass2,2,3,NA,vehicle,blackStimulus,NA,1,1,NA,NA,1,1,0,silver sportscar,,1.44925E+12,silver sportscar,FALSE,TRUE,TRUE,,,,,,,,sportsCar,NA,NA,,,,
4452-5,1.44925E+12,27,subSuperTrial,distr22,pug,target,4,4,dog,animal,blackStimulus,NA,5,5,NA,NA,chick,distrClass2,2,2,NA,animal,iguana,distrClass2,3,3,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,pug,,1.44925E+12,pug,FALSE,FALSE,TRUE,,,,,,,,pug,NA,NA,,,,
4452-5,1.44925E+12,28,subSuperTrial,distr33,grizzlyBear,target,3,2,bear,animal,blackStimulus,NA,5,5,NA,NA,bathrobe,distrClass3,2,4,NA,clothing,blackStimulus,NA,1,1,NA,NA,bookcase,distrClass3,4,3,NA,furniture,1,1,0,bear,,1.44925E+12,bear,FALSE,FALSE,FALSE,,TRUE,,,,,,grizzlyBear,NA,NA,,,,
4452-5,1.44925E+12,29,subSuperTrial,distr12,dalmatian,target,2,2,dog,animal,squirrel,distrClass2,3,4,NA,animal,greyhound,distrClass1,4,3,dog,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,dalmation,,1.44925E+12,dalmation,FALSE,FALSE,TRUE,,,,,,,,dalmatian,NA,NA,,,,
4452-5,1.44925E+12,30,colorSizeTrial,sizeOnly2Distr1Same,small_green_pepper,target,2,3,NA,NA,big_red_pepper,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_pepper,distractor,4,2,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,small pepper,,1.44925E+12,small pepper,TRUE,FALSE,TRUE,,,,,,,,pepper,small,green,,,,
4452-5,1.44925E+12,31,colorSizeTrial,colorOnly4Distr1Same,small_pink_hairdryer,target,3,5,NA,NA,big_purple_hairdryer,distractor,4,2,NA,NA,big_purple_hairdryer,distractor,5,3,NA,NA,big_purple_hairdryer,distractor,1,1,NA,NA,small_purple_hairdryer,distractor,2,4,NA,NA,1,1,0,small hairdryer that's the different color,,1.44925E+12,small hairdryer that's the different color,TRUE,TRUE,TRUE,,,,,,,,hairdryer,small,pink,,,,
4452-5,1.44925E+12,32,colorSizeTrial,colorOnly3Distr2Same,small_red_bucket,target,4,4,NA,NA,big_pink_bucket,distractor,2,2,NA,NA,small_pink_bucket,distractor,1,3,NA,NA,small_pink_bucket,distractor,3,1,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,small different colored bucket,,1.44925E+12,small different colored bucket,TRUE,TRUE,TRUE,,,,,,,,bucket,small,red,,,,
4452-5,1.44925E+12,33,colorSizeTrial,sizeOnly2Distr1Same,big_purple_yarn,target,3,2,NA,NA,small_purple_yarn,distractor,2,3,NA,NA,small_red_yarn,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,big yarn,,1.44925E+12,big yarn,TRUE,FALSE,TRUE,,,,,,,,yarn,big,purple,,,,
4452-5,1.44925E+12,34,subSuperTrial,distr22,convertible,target,4,2,car,vehicle,blackStimulus,NA,5,5,NA,NA,firetruck,distrClass2,3,3,NA,vehicle,blackStimulus,NA,1,1,NA,NA,motorcycle,distrClass2,2,4,NA,vehicle,1,1,0,sports car,,1.44925E+12,sports car,FALSE,FALSE,TRUE,,,,,,,,convertible,NA,NA,,,,
4452-5,1.44925E+12,35,subSuperTrial,distr33,clownFish,target,2,2,fish,animal,blackStimulus,NA,1,1,NA,NA,socks,distrClass3,3,4,NA,clothing,blackStimulus,NA,5,5,NA,NA,gloves,distrClass3,4,3,NA,clothing,1,1,0,fish,,1.44925E+12,fish,FALSE,FALSE,FALSE,,TRUE,,,,,,clownFish,NA,NA,,,,
4452-5,1.44925E+12,36,colorSizeTrial,sizeOnly4Distr1Same,small_purple_stapler,target,3,1,NA,NA,big_purple_stapler,distractor,2,3,NA,NA,big_red_stapler,distractor,4,4,NA,NA,big_red_stapler,distractor,5,2,NA,NA,big_red_stapler,distractor,1,5,NA,NA,1,1,0,small stapler,,1.44925E+12,small stapler,TRUE,FALSE,TRUE,,,,,,,,stapler,small,purple,,,,
4452-5,1.44925E+12,37,colorSizeTrial,sizeOnly3Distr3Same,small_purple_coathanger,target,2,1,NA,NA,big_purple_coathanger,distractor,1,3,NA,NA,big_purple_coathanger,distractor,4,2,NA,NA,big_purple_coathanger,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,small hanger,,1.44925E+12,small hanger,TRUE,FALSE,TRUE,,,,,,,,coathanger,small,purple,,,,
4452-5,1.44925E+12,38,colorSizeTrial,sizeOnly4Distr1Same,small_red_candle,target,4,2,NA,NA,big_blue_candle,distractor,5,3,NA,NA,big_blue_candle,distractor,2,4,NA,NA,big_blue_candle,distractor,1,1,NA,NA,big_red_candle,distractor,3,5,NA,NA,1,1,0,smallest candle,,1.44925E+12,smallest candle,TRUE,FALSE,TRUE,,,,,,,,candle,small,red,,,,
4452-5,1.44925E+12,39,colorSizeTrial,sizeOnly4Distr3Same,big_blue_golfball,target,3,2,NA,NA,small_blue_golfball,distractor,2,1,NA,NA,small_pink_golfball,distractor,1,5,NA,NA,small_blue_golfball,distractor,5,3,NA,NA,small_blue_golfball,distractor,4,4,NA,NA,1,1,0,biggest golf ball,,1.44925E+12,biggest golf ball,TRUE,FALSE,TRUE,,,,,,,,golfball,big,blue,,,,
4452-5,1.44925E+12,40,subSuperTrial,distr12,diningTable,target,2,3,table,furniture,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,bed,distrClass2,4,4,NA,furniture,sideTable,distrClass1,3,2,table,furniture,2,2,0,table that's facing us___not angled,,1449254768249___1449254779905,table that's facing us,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,diningTable,NA,NA,,,,
4452-5,1.44925E+12,41,colorSizeTrial,sizeOnly3Distr2Same,small_orange_napkin,target,1,2,NA,NA,blackStimulus,NA,5,5,NA,NA,big_orange_napkin,distractor,4,4,NA,NA,big_yellow_napkin,distractor,2,3,NA,NA,big_orange_napkin,distractor,3,1,NA,NA,1,1,0,smallest napkin,,1.44925E+12,smallest napkin,TRUE,FALSE,TRUE,,,,,,,,napkin,small,orange,,,,
4452-5,1.44925E+12,42,colorSizeTrial,sizeOnly3Distr3Same,small_pink_teacup,target,1,4,NA,NA,big_pink_teacup,distractor,4,1,NA,NA,big_pink_teacup,distractor,3,2,NA,NA,blackStimulus,NA,5,5,NA,NA,big_pink_teacup,distractor,2,3,NA,NA,1,1,0,smallest cup,,1.44925E+12,smallest cup,TRUE,FALSE,TRUE,,,,,,,,teacup,small,pink,,,,
4452-5,1.44925E+12,43,colorSizeTrial,colorOnly3Distr1Same,small_white_weddingcake,target,4,4,NA,NA,small_pink_weddingcake,distractor,3,2,NA,NA,big_pink_weddingcake,distractor,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_pink_weddingcake,distractor,1,1,NA,NA,1,1,0,cake that's small and the different color,,1.44925E+12,cake that's small and the different color,TRUE,TRUE,TRUE,,,,,,,,weddingcake,small,white,,,,
4452-5,1.44925E+12,44,subSuperTrial,distr23,coffeeTable,target,3,4,table,furniture,blackStimulus,NA,1,1,NA,NA,crocodile,distrClass3,4,3,NA,animal,blackStimulus,NA,5,5,NA,NA,lamp,distrClass2,2,2,NA,furniture,1,1,0,table,,1.44925E+12,table,FALSE,FALSE,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
4452-5,1.44925E+12,45,subSuperTrial,distr23,mnMs,target,2,3,candy,snack,blackStimulus,NA,5,5,NA,NA,iguana,distrClass3,4,4,NA,animal,blackStimulus,NA,1,1,NA,NA,popcorn,distrClass2,3,2,NA,snack,1,1,0,m and m,,1.44925E+12,m and m,FALSE,FALSE,TRUE,,,,,,,,mnMs,NA,NA,,,,
4452-5,1.44925E+12,46,subSuperTrial,distr22,goldFish,target,3,3,fish,animal,blackStimulus,NA,5,5,NA,NA,iguana,distrClass2,4,4,NA,animal,pig,distrClass2,2,2,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,fish,,1.44925E+12,fish,FALSE,FALSE,FALSE,,TRUE,,,,,,goldFish,NA,NA,,,,
4452-5,1.44925E+12,47,subSuperTrial,distr12,poloShirt,target,2,2,shirt,clothing,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,campShirt,distrClass1,3,3,shirt,clothing,gloves,distrClass2,4,4,NA,clothing,1,1,0,shirt without buttons,,1.44925E+12,shirt without buttons,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,poloShirt,NA,NA,,,,
4452-5,1.44925E+12,48,colorSizeTrial,sizeOnly4Distr3Same,big_purple_flower,target,5,1,NA,NA,small_purple_flower,distractor,2,4,NA,NA,small_red_flower,distractor,1,3,NA,NA,small_purple_flower,distractor,4,5,NA,NA,small_purple_flower,distractor,3,2,NA,NA,1,1,0,biggest flower,,1.44925E+12,biggest flower,TRUE,FALSE,TRUE,,TRUE,,,,,,flower,big,purple,,,,
4452-5,1.44925E+12,49,subSuperTrial,distr23,suv,target,4,3,car,vehicle,blackStimulus,NA,5,5,NA,NA,elephant,distrClass3,3,4,NA,animal,firetruck,distrClass2,2,2,NA,vehicle,blackStimulus,NA,1,1,NA,NA,1,1,0,car,,1.44925E+12,car,FALSE,FALSE,FALSE,,TRUE,,,,,,suv,NA,NA,,,,
4452-5,1.44925E+12,50,subSuperTrial,distr12,rose,target,2,3,flower,plant,lily,distrClass1,3,4,flower,plant,grasses,distrClass2,4,2,NA,plant,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,rose,,1.44925E+12,rose,FALSE,FALSE,TRUE,,,,,,,,rose,NA,NA,,,,
4452-5,1.44925E+12,51,subSuperTrial,distr33,picnicTable,target,4,2,table,furniture,chick,distrClass3,2,4,NA,animal,blackStimulus,NA,5,5,NA,NA,kitten,distrClass3,3,3,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,picnic table,,1.44925E+12,picnic table,FALSE,FALSE,TRUE,,,,,,,,picnicTable,NA,NA,,,,
4452-5,1.44925E+12,52,subSuperTrial,distr23,daisy,target,3,2,flower,plant,grasses,distrClass2,4,4,NA,plant,snake,distrClass3,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,flower,,1.44925E+12,flower,FALSE,FALSE,FALSE,,TRUE,,,,,,daisy,NA,NA,,,,
4452-5,1.44925E+12,53,colorSizeTrial,colorOnly4Distr3Same,big_brown_belt,target,2,5,NA,NA,big_black_belt,distractor,1,4,NA,NA,big_black_belt,distractor,4,3,NA,NA,big_black_belt,distractor,5,1,NA,NA,small_black_belt,distractor,3,2,NA,NA,1,1,0,belt that's not the same color,,1.44925E+12,belt that's not the same color,FALSE,TRUE,TRUE,,,,,,,,belt,big,brown,,,,
4452-5,1.44925E+12,54,colorSizeTrial,sizeOnly3Distr1Same,small_blue_guitar,target,3,1,NA,NA,big_green_guitar,distractor,1,4,NA,NA,big_blue_guitar,distractor,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_guitar,distractor,2,2,NA,NA,1,1,0,smallest guitar,,1.44925E+12,smallest guitar,TRUE,FALSE,TRUE,,,,,,,,guitar,small,blue,,,,
4452-5,1.44925E+12,55,colorSizeTrial,sizeOnly3Distr2Same,big_green_rock,target,1,2,NA,NA,small_green_rock,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_purple_rock,distractor,3,3,NA,NA,small_green_rock,distractor,2,1,NA,NA,1,1,0,biggest.~~~~~~thing,,1.44925E+12,biggest.~~~~~~thing,TRUE,FALSE,FALSE,,,,,,TRUE,,rock,big,green,,,,
4452-5,1.44925E+12,56,subSuperTrial,distr23,polarBear,target,3,2,bear,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,ivy,distrClass3,4,3,NA,plant,cow,distrClass2,2,4,NA,animal,2,1,1,polar bear,lol,1449254889822___1449254890790,polar bear,FALSE,FALSE,TRUE,,,,,,,,polarBear,NA,NA,,,,
4452-5,1.44925E+12,57,subSuperTrial,distr23,tShirt,target,2,4,shirt,clothing,blackStimulus,NA,1,1,NA,NA,rabbit,distrClass3,3,3,NA,animal,blackStimulus,NA,5,5,NA,NA,gloves,distrClass2,4,2,NA,clothing,1,1,0,shirt,,1.44925E+12,shirt,FALSE,FALSE,FALSE,,TRUE,,,,,,tShirt,NA,NA,,,,
4452-5,1.44925E+12,58,colorSizeTrial,colorOnly4Distr1Same,big_green_avocado,target,3,5,NA,NA,big_black_avocado,distractor,5,1,NA,NA,small_black_avocado,distractor,4,3,NA,NA,small_black_avocado,distractor,1,2,NA,NA,small_black_avocado,distractor,2,4,NA,NA,1,1,0,different colored avocado,,1.44925E+12,different colored avocado,FALSE,TRUE,TRUE,,,,,,,,avocado,big,green,,,,
4452-5,1.44925E+12,59,subSuperTrial,distr12,germanShepherd,target,3,3,dog,animal,blackStimulus,NA,5,5,NA,NA,greyhound,distrClass1,2,4,dog,animal,pig,distrClass2,4,2,NA,animal,blackStimulus,NA,1,1,NA,NA,4,2,2,blackish dog___yeah that's it,the sheperd?___or whippet,1449254922593___1449254932610___1449254937373___1449254939322,blackish dog,FALSE,TRUE,FALSE,,TRUE,,,,,,germanShepherd,NA,NA,,,,
4452-5,1.44925E+12,60,subSuperTrial,distr12,sunflower,target,4,3,flower,plant,lily,distrClass1,3,4,flower,plant,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass2,2,2,NA,plant,1,1,0,sunflower,,1.44925E+12,sunflower,FALSE,FALSE,TRUE,,,,,,,,sunflower,NA,NA,,,,
4452-5,1.44925E+12,61,subSuperTrial,distr22,gummyBears,target,2,4,candy,snack,blackStimulus,NA,5,5,NA,NA,chips,distrClass2,3,3,NA,snack,cookies,distrClass2,4,2,NA,snack,blackStimulus,NA,1,1,NA,NA,1,1,0,gummy bears,,1.44925E+12,gummy bears,FALSE,FALSE,TRUE,,,,,,,,gummyBears,NA,NA,,,,
4452-5,1.44925E+12,62,subSuperTrial,distr22,blackBear,target,4,2,bear,animal,elephant,distrClass2,2,3,NA,animal,blackStimulus,NA,5,5,NA,NA,sheep,distrClass2,3,4,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,black bear,,1.44925E+12,black bear,FALSE,FALSE,TRUE,,,,,,,,blackBear,NA,NA,,,,
4452-5,1.44925E+12,63,subSuperTrial,distr22,eagle,target,2,3,bird,animal,bison,distrClass2,4,2,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,squirrel,distrClass2,3,4,NA,animal,1,1,0,eagle,,1.44925E+12,eagle,FALSE,FALSE,TRUE,,,,,,,,eagle,NA,NA,,,,
4452-5,1.44926E+12,64,colorSizeTrial,colorOnly2Distr1Same,small_brown_jacket,target,2,2,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_green_jacket,distractor,3,4,NA,NA,big_green_jacket,distractor,4,3,NA,NA,1,1,0,different colored jacket,,1.44926E+12,different colored jacket,FALSE,TRUE,TRUE,,,,,,,,jacket,small,brown,,,,
4452-5,1.44926E+12,65,subSuperTrial,distr33,bedsideTable,target,2,3,table,furniture,cookies,distrClass3,4,4,NA,snack,horse,distrClass3,3,2,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,dresser,,1.44926E+12,dresser,FALSE,FALSE,TRUE,,,,,,,,bedsideTable,NA,NA,,,,
