"","X","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","typeMentioned_after_manual_correction","clickedType","clickedSize","clickedColor","column1","column2","column3","column4","column5"
"13",34,"4452-5",1449254726610,34,"subSuperTrial","distr22","convertible","target",4,2,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"firetruck","distrClass2",3,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"motorcycle","distrClass2",2,4,NA,"vehicle",1,1,0,"sports car","","1449254725202","sports car","False","False","False",TRUE,"convertible",NA,NA,"",NA,NA,NA,NA
"17",45,"4452-5",1449254823577,45,"subSuperTrial","distr23","mnMs","target",2,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,"iguana","distrClass3",4,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass2",3,2,NA,"snack",1,1,0,"m and m","","1449254821486","m and m","False","False","False",TRUE,"mnMs",NA,NA,"",NA,NA,NA,NA
"21",50,"4452-5",1449254851427,50,"subSuperTrial","distr12","rose","target",2,3,"flower","plant","lily","distrClass1",3,4,"flower","plant","grasses","distrClass2",4,2,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"rose","","1449254850065","rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"22",51,"4452-5",1449254857175,51,"subSuperTrial","distr33","picnicTable","target",4,2,"table","furniture","chick","distrClass3",2,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"kitten","distrClass3",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"picnic table","","1449254855988","picnic table","False","False","False",TRUE,"picnicTable",NA,NA,"",NA,NA,NA,NA
"24",56,"4452-5",1449254893721,56,"subSuperTrial","distr23","polarBear","target",3,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"ivy","distrClass3",4,3,NA,"plant","cow","distrClass2",2,4,NA,"animal",2,1,1,"polar bear","lol","1449254889822___1449254890790","polar bear","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"27",60,"4452-5",1449254948542,60,"subSuperTrial","distr12","sunflower","target",4,3,"flower","plant","lily","distrClass1",3,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"rosemary","distrClass2",2,2,NA,"plant",1,1,0,"sunflower","","1449254946435","sunflower","False","False","True",TRUE,"sunflower",NA,NA,"",NA,NA,NA,NA
"28",61,"4452-5",1449254987002,61,"subSuperTrial","distr22","gummyBears","target",2,4,"candy","snack","blackStimulus",NA,5,5,NA,NA,"chips","distrClass2",3,3,NA,"snack","cookies","distrClass2",4,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,1,1,0,"gummy bears","","1449254952522","gummy bears","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"29",62,"4452-5",1449254994028,62,"subSuperTrial","distr22","blackBear","target",4,2,"bear","animal","elephant","distrClass2",2,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"sheep","distrClass2",3,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"black bear","","1449254992016","black bear","False","False","False",TRUE,"blackBear",NA,NA,"",NA,NA,NA,NA
"30",63,"4452-5",1449254998685,63,"subSuperTrial","distr22","eagle","target",2,3,"bird","animal","bison","distrClass2",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"squirrel","distrClass2",3,4,NA,"animal",1,1,0,"eagle","","1449254996945","eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"31",65,"4452-5",1449255017247,65,"subSuperTrial","distr33","bedsideTable","target",2,3,"table","furniture","cookies","distrClass3",4,4,NA,"snack","horse","distrClass3",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"dresser","","1449255015149","dresser","False","False","False",TRUE,"bedsideTable",NA,NA,"",NA,NA,NA,NA
"35",70,"4452-5",1449255041825,70,"subSuperTrial","distr33","pandaBear","target",3,3,"bear","animal","wardrobe","distrClass3",4,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"train","distrClass3",2,4,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,1,1,0,"panda","","1449255040284","panda","False","False","False",TRUE,"pandaBear",NA,NA,"",NA,NA,NA,NA
"55",101,"5076-0",1449254703973,29,"subSuperTrial","distr23","convertible","target",4,4,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"firetruck","distrClass2",3,3,NA,"vehicle","cookies","distrClass3",2,2,NA,"snack",1,1,0,"Convertible","","1449254702900","Convertible","False","False","True",TRUE,"convertible",NA,NA,"",NA,NA,NA,NA
"56",102,"5076-0",1449254717772,30,"subSuperTrial","distr12","goldFish","target",4,3,"fish","animal","blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",3,4,"fish","animal","sheep","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Goldfish","","1449254715995","Goldfish","False","False","False",TRUE,"goldFish",NA,NA,"",NA,NA,NA,NA
"57",103,"5076-0",1449254724860,31,"subSuperTrial","distr12","hummingBird","target",3,3,"bird","animal","sparrow","distrClass1",4,2,"bird","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"bison","distrClass2",2,4,NA,"animal",1,1,0,"Hummingbird","","1449254723378","Hummingbird","False","False","False",TRUE,"hummingBird",NA,NA,"",NA,NA,NA,NA
"58",104,"5076-0",1449254730447,32,"subSuperTrial","distr23","sunflower","target",2,4,"flower","plant","iguana","distrClass3",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass2",3,2,NA,"plant",1,1,0,"Sunflower","","1449254728812","Sunflower","False","False","True",TRUE,"sunflower",NA,NA,"",NA,NA,NA,NA
"64",117,"5076-0",1449254843972,45,"subSuperTrial","distr12","clownFish","target",4,2,"fish","animal","blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",2,3,"fish","animal","snake","distrClass2",3,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Clown fish","","1449254841297","Clown fish","False","False","False",TRUE,"clownFish",NA,NA,"",NA,NA,NA,NA
"65",118,"5076-0",1449254853095,46,"subSuperTrial","distr23","bedsideTable","target",4,2,"table","furniture","ambulance","distrClass3",3,4,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bed","distrClass2",2,3,NA,"furniture",1,1,0,"Nightstand","","1449254852058","Nightstand","False","False","False",TRUE,"bedsideTable",NA,NA,"",NA,NA,NA,NA
"67",125,"5076-0",1449254894923,53,"subSuperTrial","distr22","diningTable","target",4,2,"table","furniture","blackStimulus",NA,1,1,NA,NA,"lamp","distrClass2",3,4,NA,"furniture","wardrobe","distrClass2",2,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,1,1,0,"Desk","","1449254892799","Desk","False","False","False",TRUE,"diningTable",NA,NA,"",NA,NA,NA,NA
"68",131,"5076-0",1449254932145,59,"subSuperTrial","distr33","rose","target",2,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"pretzels","distrClass3",4,3,NA,"snack","horse","distrClass3",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Rose","","1449254930995","Rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"69",137,"5076-0",1449254967805,65,"subSuperTrial","distr22","minivan","target",4,3,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"train","distrClass2",2,4,NA,"vehicle","ambulance","distrClass2",3,2,NA,"vehicle",1,1,0,"Mini-van","","1449254966605","Mini-van","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"71",143,"5076-0",1449255007686,71,"subSuperTrial","distr12","suv","target",2,2,"car","vehicle","train","distrClass2",4,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"sedan","distrClass1",3,3,"car","vehicle",1,1,0,"SUV","","1449255006078","SUV","False","False","True",TRUE,"suv",NA,NA,"",NA,NA,NA,NA
"72",144,"5076-0",1449255013401,72,"subSuperTrial","distr33","pandaBear","target",3,2,"bear","animal","lamp","distrClass3",2,4,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass3",4,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,1,1,0,"Panda","","1449255012467","Panda","False","False","False",TRUE,"pandaBear",NA,NA,"",NA,NA,NA,NA
"78",156,"4393-a",1449254533409,12,"subSuperTrial","distr12","swordFish","target",4,2,"fish","animal","blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",3,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"sheep","distrClass2",2,4,NA,"animal",1,1,0,"swordfish","","1449254531538","swordfish","False","False","False",TRUE,"swordFish",NA,NA,"",NA,NA,NA,NA
"80",161,"4393-a",1449254579593,17,"subSuperTrial","distr12","suv","target",4,4,"car","vehicle","motorcycle","distrClass2",2,2,NA,"vehicle","sedan","distrClass1",3,3,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"WHite Suv","","1449254576482","WHite Suv","False","False","True",TRUE,"suv",NA,NA,"",NA,NA,NA,NA
"84",166,"4393-a",1449254630441,22,"subSuperTrial","distr12","gummyBears","target",2,3,"candy","snack","popcorn","distrClass2",4,4,NA,"snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"candyCorn","distrClass1",3,2,"candy","snack",1,1,0,"Gummy Bears","","1449254629507","Gummy Bears","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"85",167,"4393-a",1449254637138,23,"subSuperTrial","distr23","eagle","target",3,4,"bird","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"lamp","distrClass3",2,3,NA,"furniture","rhino","distrClass2",4,2,NA,"animal",1,1,0,"Eagle","","1449254635525","Eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"93",189,"4393-a",1449254860448,45,"subSuperTrial","distr23","minivan","target",2,2,"car","vehicle","iguana","distrClass3",3,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"firetruck","distrClass2",4,3,NA,"vehicle",1,1,0,"van","","1449254858612","van","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"97",198,"4393-a",1449254927823,54,"subSuperTrial","distr12","jellyBeans","target",3,4,"candy","snack","blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass2",4,2,NA,"snack","candyCorn","distrClass1",2,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"jelly beans","","1449254921552","jelly beans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"98",199,"4393-a",1449254940572,55,"subSuperTrial","distr23","mnMs","target",3,4,"candy","snack","pretzels","distrClass2",4,3,NA,"snack","chick","distrClass3",2,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"m&ms","","1449254932711","m&ms","False","False","False",TRUE,"mnMs",NA,NA,"",NA,NA,NA,NA
"102",205,"4393-a",1449255011654,61,"subSuperTrial","distr12","daisy","target",4,2,"flower","plant","ivy","distrClass2",3,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,"lily","distrClass1",2,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,1,1,0,"Sunflower","","1449255009255","Sunflower","False","False","False",TRUE,"daisy",NA,NA,"",NA,NA,NA,NA
"104",208,"4393-a",1449255039133,64,"subSuperTrial","distr12","tShirt","target",4,2,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"campShirt","distrClass1",3,3,"shirt","clothing","bathrobe","distrClass2",2,4,NA,"clothing","blackStimulus",NA,1,1,NA,NA,1,1,0,"t-shirt","","1449255036245","t-shirt","False","False","False",TRUE,"tShirt",NA,NA,"",NA,NA,NA,NA
"108",218,"8258-f",1449254428972,2,"subSuperTrial","distr22","hummingBird","target",4,2,"bird","animal","bison","distrClass2",2,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"crocodile","distrClass2",3,4,NA,"animal",1,1,0,"hummingbird","","1449254426671","hummingbird","False","False","False",TRUE,"hummingBird",NA,NA,"",NA,NA,NA,NA
"114",232,"8258-f",1449254512823,16,"subSuperTrial","distr22","skittles","target",3,2,"candy","snack","pretzels","distrClass2",4,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"popcorn","distrClass2",2,3,NA,"snack",1,1,0,"skittles","","1449254511560","skittles","False","False","True",TRUE,"skittles",NA,NA,"",NA,NA,NA,NA
"117",240,"8258-f",1449254561804,24,"subSuperTrial","distr12","pandaBear","target",3,4,"bear","animal","koalaBear","distrClass1",4,3,"bear","animal","elephant","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"panda","","1449254560382","panda","False","False","False",TRUE,"pandaBear",NA,NA,"",NA,NA,NA,NA
"123",249,"8258-f",1449254635741,33,"subSuperTrial","distr12","rose","target",2,3,"flower","plant","pottedPlant","distrClass2",3,4,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",4,2,"flower","plant",1,1,0,"rose","","1449254634567","rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"129",257,"8258-f",1449254678433,41,"subSuperTrial","distr22","gummyBears","target",3,4,"candy","snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"popcorn","distrClass2",4,2,NA,"snack","pretzels","distrClass2",2,3,NA,"snack",1,1,0,"gummy bears","","1449254676859","gummy bears","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"130",259,"8258-f",1449254690834,43,"subSuperTrial","distr12","jellyBeans","target",3,2,"candy","snack","cookies","distrClass2",4,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,"candyCorn","distrClass1",2,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"jelly beans","","1449254689115","jelly beans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"132",265,"8258-f",1449254734521,49,"subSuperTrial","distr12","eagle","target",3,2,"bird","animal","sparrow","distrClass1",2,3,"bird","animal","elephant","distrClass2",4,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,2,2,0,"eagle___eagle","","1449254733149___1449254734173","eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"135",269,"8258-f",1449254753107,53,"subSuperTrial","distr33","minivan","target",4,3,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"cow","distrClass3",3,2,NA,"animal","ivy","distrClass3",2,4,NA,"plant",2,2,0,"ban___van","","1449254751102___1449254752021","ban","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"137",272,"8258-f",1449254773283,56,"subSuperTrial","distr33","bedsideTable","target",4,2,"table","furniture","rabbit","distrClass3",2,4,NA,"animal","sheep","distrClass3",3,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"dresser","","1449254770611","dresser","False","False","False",TRUE,"bedsideTable",NA,NA,"",NA,NA,NA,NA
"138",274,"8258-f",1449254785770,58,"subSuperTrial","distr12","swordFish","target",2,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",3,2,"fish","animal","iguana","distrClass2",4,4,NA,"animal",1,1,0,"swordfish","","1449254784077","swordfish","False","False","False",TRUE,"swordFish",NA,NA,"",NA,NA,NA,NA
"144",290,"9807-5",1449254557054,2,"subSuperTrial","distr23","convertible","target",4,2,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"firetruck","distrClass2",2,3,NA,"vehicle","bathrobe","distrClass3",3,4,NA,"clothing",1,1,0,"the race car!","","1449254555289","the race car!","False","False","False",TRUE,"convertible",NA,NA,"",NA,NA,NA,NA
"145",293,"9807-5",1449254577439,5,"subSuperTrial","distr12","blackBear","target",2,3,"bear","animal","lobster","distrClass2",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"koalaBear","distrClass1",3,4,"bear","animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"black bear!","","1449254576263","black bear!","False","False","False",TRUE,"blackBear",NA,NA,"",NA,NA,NA,NA
"148",302,"9807-5",1449254662623,14,"subSuperTrial","distr12","poloShirt","target",2,3,"shirt","clothing","campShirt","distrClass1",3,2,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"gloves","distrClass2",4,4,NA,"clothing","blackStimulus",NA,1,1,NA,NA,1,1,0,"polo shirt","","1449254659912","polo shirt","False","False","False",TRUE,"poloShirt",NA,NA,"",NA,NA,NA,NA
"154",311,"9807-5",1449254712334,23,"subSuperTrial","distr23","bedsideTable","target",2,3,"table","furniture","bookcase","distrClass2",3,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"horse","distrClass3",4,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"dresser","","1449254711141","dresser","False","False","False",TRUE,"bedsideTable",NA,NA,"",NA,NA,NA,NA
"156",314,"9807-5",1449254730139,26,"subSuperTrial","distr12","gummyBears","target",3,4,"candy","snack","popcorn","distrClass2",2,3,NA,"snack","candyCorn","distrClass1",4,2,"candy","snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"gummy bears","","1449254726575","gummy bears","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"157",317,"9807-5",1449254751774,29,"subSuperTrial","distr12","skittles","target",4,2,"candy","snack","candyCorn","distrClass1",2,3,"candy","snack","cookies","distrClass2",3,4,NA,"snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"skittles","","1449254749425","skittles","False","False","True",TRUE,"skittles",NA,NA,"",NA,NA,NA,NA
"158",319,"9807-5",1449254767174,31,"subSuperTrial","distr12","sportsCar","target",3,4,"car","vehicle","ambulance","distrClass2",2,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"sedan","distrClass1",4,2,"car","vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"silver race car","","1449254765142","silver race car","False","False","False",TRUE,"sportsCar",NA,NA,"",NA,NA,NA,NA
"159",323,"9807-5",1449254801895,35,"subSuperTrial","distr33","rose","target",2,4,"flower","plant","chick","distrClass3",3,3,NA,"animal","rhino","distrClass3",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"rose","","1449254799133","rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"163",333,"9807-5",1449254864644,45,"subSuperTrial","distr33","tulip","target",2,3,"flower","plant","blackStimulus",NA,5,5,NA,NA,"bed","distrClass3",4,4,NA,"furniture","cow","distrClass3",3,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"rose","","1449254863262","rose","False","False","False",TRUE,"tulip",NA,NA,"",NA,NA,NA,NA
"170",346,"9807-5",1449254939668,58,"subSuperTrial","distr12","eagle","target",3,2,"bird","animal","blackStimulus",NA,5,5,NA,NA,"sparrow","distrClass1",2,3,"bird","animal","snake","distrClass2",4,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"egle","","1449254937876","egle","False","False","False",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"194",385,"8684-3",1449254954917,25,"subSuperTrial","distr23","hawaiiShirt","target",4,3,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"bison","distrClass3",3,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"bathrobe","distrClass2",2,4,NA,"clothing",1,1,0,"hawaiian","","1449254953089","hawaiian","False","False","False",TRUE,"hawaiiShirt",NA,NA,"",NA,NA,NA,NA
"195",388,"8684-3",1449254987283,28,"subSuperTrial","distr22","sportsCar","target",3,2,"car","vehicle","train","distrClass2",2,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"ambulance","distrClass2",4,3,NA,"vehicle",1,1,0,"sports car","","1449254980777","sports car","False","False","False",TRUE,"sportsCar",NA,NA,"",NA,NA,NA,NA
"199",399,"8684-3",1449255086368,39,"subSuperTrial","distr23","gummyBears","target",4,3,"candy","snack","blackStimulus",NA,1,1,NA,NA,"horse","distrClass3",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass2",2,4,NA,"snack",3,2,1,"candy___gummi","this food is making me hungry. ","1449255075005___1449255084081___1449255085226","candy","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"218",441,"5628-2",1449254811557,9,"subSuperTrial","distr22","eagle","target",2,4,"bird","animal","lion","distrClass2",3,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"iguana","distrClass2",4,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"eagle","","1449254810235","eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"219",442,"5628-2",1449254817116,10,"subSuperTrial","distr22","skittles","target",4,3,"candy","snack","pretzels","distrClass2",2,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,"chips","distrClass2",3,4,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"skittles","","1449254815605","skittles","False","False","True",TRUE,"skittles",NA,NA,"",NA,NA,NA,NA
"220",443,"5628-2",1449254823298,11,"subSuperTrial","distr12","polarBear","target",3,4,"bear","animal","blackStimulus",NA,5,5,NA,NA,"koalaBear","distrClass1",2,3,"bear","animal","blackStimulus",NA,1,1,NA,NA,"bison","distrClass2",4,2,NA,"animal",1,1,0,"polar bear","","1449254822030","polar bear","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
