gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,alt3Name,alt3TargetStatus,alt3SpLocs,alt3LisLocs,alt3Basiclevel,alt3superdomain,alt4Name,alt4TargetStatus,alt4SpLocs,alt4LisLocs,alt4Basiclevel,alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,mistake_speaker,mistake_listener,technical_error,listenerMessages,messageTimeStamps,refExp,clickedType,clickedSize,clickedColor,colorMentioned,sizeMentioned,metaColorMentioned,metaSizeMentioned,typeMentioned,automaticallyLabelledTrials,manuallyAddedTrials,oddOneMentions,otherFeatureMentioned,oneMentioned,theMentioned,fullSentence,noColorSizeMentioned
3791-8,1455301061091,5,colorSizeTrial,size22,small_red_flower,distractor,4,4,NA,NA,small_red_flower,distractor,2,3,NA,NA,big_red_flower,target,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,all the same idk,TRUE,,,,1455301056463,all the same idk,flower,small,red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4242-5,1455301408156,32,colorSizeTrial,size32,big_yellow_shoe,distractor,1,1,NA,NA,big_white_shoe,distractor,4,2,NA,NA,small_white_shoe,target,2,3,NA,NA,big_white_shoe,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,the yellow shoe,TRUE,,,,1455301406858,the yellow shoe,shoe,big,yellow,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4886-d,1455301445877,60,colorSizeTrial,size33,small_blue_butterfly,distractor,2,2,NA,NA,big_blue_butterfly,target,1,1,NA,NA,small_blue_butterfly,distractor,4,3,NA,NA,small_blue_butterfly,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,0,0,0,,,,TRUE,,,,butterfly,small,blue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5222-f,1455301237658,1,colorSizeTrial,size31,big_yellow_balloon,distractor,4,2,NA,NA,small_yellow_balloon,target,3,4,NA,NA,big_pink_balloon,distractor,2,3,NA,NA,big_pink_balloon,distractor,1,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,small gold,,TRUE,TRUE?,,1455301224083,small gold,balloon,big,yellow,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5222-f,1455301395839,15,colorSizeTrial,size33,big_blue_guitar,distractor,2,3,NA,NA,small_blue_guitar,target,3,1,NA,NA,big_blue_guitar,distractor,1,4,NA,NA,big_blue_guitar,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,4,3,1,smallest___lol___are they still blank,,TRUE,TRUE?,blanks again,1455301376311___1455301377689___1455301390253___1455301394152,smallest,guitar,big,blue,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8691-9,1455301499661,28,colorSizeTrial,color31,big_black_comb,distractor,3,1,NA,NA,big_blue_comb,target,4,4,NA,NA,small_black_comb,distractor,1,2,NA,NA,small_black_comb,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,black,TRUE,,,,1455301492164,black,comb,big,black,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8344-c,1455301623125,1,colorSizeTrial,size21,small_blue_rug,distractor,4,2,NA,NA,big_purple_rug,target,2,4,NA,NA,small_purple_rug,distractor,3,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,0,1,a larger purple mat,,TRUE,,Hello?,1455301594369,a larger purple mat,rug,small,blue,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8344-c,1455301643665,2,colorSizeTrial,size44,small_pink_balloon,distractor,2,3,NA,NA,small_pink_balloon,distractor,5,4,NA,NA,small_pink_balloon,distractor,1,1,NA,NA,small_pink_balloon,distractor,3,2,NA,NA,big_pink_balloon,target,4,5,NA,NA,2,2,0,a larger pink balloon,,TRUE,,,1455301626653___1455301636502,a larger pink balloon,balloon,small,pink,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3676-c,1455301816367,1,colorSizeTrial,size41,small_red_tack,distractor,3,3,NA,NA,small_blue_tack,distractor,1,1,NA,NA,big_red_tack,target,2,5,NA,NA,small_blue_tack,distractor,4,4,NA,NA,small_blue_tack,distractor,5,2,NA,NA,1,1,0,big red,,TRUE,,,1455301813219,big red,tack,small,red,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6426-3,1455303518375,65,colorSizeTrial,size43,big_pink_bucket,distractor,2,3,NA,NA,big_red_bucket,distractor,5,1,NA,NA,big_red_bucket,distractor,3,2,NA,NA,big_red_bucket,distractor,1,4,NA,NA,small_red_bucket,target,4,5,NA,NA,1,1,0,pink bucket,TRUE,,,,1455303495521,pink bucket,bucket,big,pink,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
