gameid	 time	 roundNum	 trialType	 condition	 nameClickedObj	 targetStatusClickedObj	 spLocsClickedObj	 lisLocsClickedObj	 domainClickedObj	 superdomainClickedObj	 alt1Name	 alt1TargetStatus	 alt1SpLocs	 alt1LisLocs	 alt1Domain	 alt1superdomain	 alt2Name	 alt2TargetStatus	 alt2SpLocs	 alt2LisLocs	 alt2Domain	 alt2superdomain	 alt3Name	 alt3TargetStatus	 alt3SpLocs	 alt3LisLocs	 alt3Domain	 alt3superdomain	 alt4Name	 alt4TargetStatus	 alt4SpLocs	 alt4LisLocs	 alt4Domain	 alt4superdomain	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor
0092-1	1448860169226	1	subSuperTrial	distr12	violin	distrClass1	4	3	instrument	object	walkietalkie	distrClass2	2	4	NA	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	banjo	target	3	2	instrument	object	1	0	1		fads	1448860168098	NA	False	False	False	violin	NA	NA
0092-1	1448860174809	2	subSuperTrial	distr33	baseball	distrClass3	2	4	NA	object	bread	distrClass3	4	2	NA	food	cottage	target	3	3	house	place	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		asdf	1448860173548	NA	False	False	False	baseball	NA	NA
0092-1	1448860182084	3	colorSizeTrial	sizeOnly2Distr2Same	big_blue_cushion	target	2	2	NA	NA	small_blue_cushion	distractor	3	3	NA	NA	small_blue_cushion	distractor	4	4	NA	NA	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	1	1	0	oasidfp ojasd		1448860179118	oasidfp ojasd	False	False	False	big_blue_cushion	NA	NA
0092-1	1448860186691	4	subSuperTrial	distr22	grapefruit	target	4	3	fruit	food	pizza	distrClass2	3	4	NA	food	pasta	distrClass2	2	2	NA	food	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		asdfj o	1448860185426	NA	False	False	False	grapefruit	NA	NA
0092-1	1448860189737	5	subSuperTrial	distr23	firehydrant	distrClass2	4	2	NA	object	bike2	target	3	3	vehicle	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	grasses	distrClass3	2	4	NA	plant	1	0	1		sd	1448860188798	NA	False	False	False	firehydrant	NA	NA
0092-1	1448860193141	6	colorSizeTrial	sizeOnly2Distr2Same	small_pink_bucket	distractor	2	3	NA	NA	big_pink_bucket	target	3	2	NA	NA	blackStimulus	NA	5	5	NA	NA	small_pink_bucket	distractor	4	4	NA	NA	blackStimulus	NA	1	1	NA	NA	1	0	1		df	1448860192301	NA	False	False	False	small_pink_bucket	NA	NA
0092-1	1448860196044	7	colorSizeTrial	colorOnly2Distr1Same	small_purple_hairdryer	distractor	2	2	NA	NA	small_pink_hairdryer	target	3	3	NA	NA	blackStimulus	NA	5	5	NA	NA	big_purple_hairdryer	distractor	4	4	NA	NA	blackStimulus	NA	1	1	NA	NA	1	0	1		sadf	1448860195197	NA	False	False	False	small_purple_hairdryer	NA	NA
0092-1	1448860199093	8	subSuperTrial	distr22	tennisball	distrClass2	3	4	NA	object	tooth	distrClass2	2	3	NA	object	blackStimulus	NA	1	1	NA	NA	ambulance	target	4	2	vehicle	object	blackStimulus	NA	5	5	NA	NA	1	0	1		afds	1448860198012	NA	False	False	False	tennisball	NA	NA
0092-1	1448860202290	9	subSuperTrial	distr23	hospital	distrClass3	3	4	NA	place	blackStimulus	NA	1	1	NA	NA	firetruck	target	2	2	vehicle	object	baseballmitt	distrClass2	4	3	NA	object	blackStimulus	NA	5	5	NA	NA	1	0	1		asdf	1448860201212	NA	False	False	False	hospital	NA	NA
0092-1	1448860205471	10	subSuperTrial	distr12	eraser	distrClass2	4	2	NA	object	blackStimulus	NA	1	1	NA	NA	dress	distrClass1	2	3	clothing	object	blackStimulus	NA	5	5	NA	NA	belt2	target	3	4	clothing	object	1	0	1		asdf	1448860204588	NA	False	False	False	eraser	NA	NA
0092-1	1448860208690	11	colorSizeTrial	colorOnly4Distr4Same	small_blue_toothbrush	distractor	5	2	NA	NA	small_blue_toothbrush	distractor	4	3	NA	NA	small_red_toothbrush	target	3	4	NA	NA	small_blue_toothbrush	distractor	1	1	NA	NA	small_blue_toothbrush	distractor	2	5	NA	NA	1	0	1		dsaf	1448860207530	NA	False	False	False	small_blue_toothbrush	NA	NA
0092-1	1448860211842	12	subSuperTrial	distr12	chihuahua	distrClass1	2	2	dog	animal	dalmatian	target	4	4	dog	animal	rhino	distrClass2	3	3	NA	animal	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		dsaf	1448860210739	NA	False	False	False	chihuahua	NA	NA
0092-1	1448860215951	13	colorSizeTrial	colorOnly4Distr3Same	big_red_stapler	target	1	1	NA	NA	small_purple_stapler	distractor	3	2	NA	NA	big_purple_stapler	distractor	4	4	NA	NA	big_purple_stapler	distractor	2	5	NA	NA	big_purple_stapler	distractor	5	3	NA	NA	1	0	1		dfsa	1448860214120	NA	False	False	False	big_red_stapler	NA	NA
0092-1	1448860220413	14	subSuperTrial	distr33	cherryTree	distrClass3	2	3	NA	plant	bread	distrClass3	4	2	NA	food	swimsuit	target	3	4	clothing	object	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		adsf	1448860219073	NA	False	False	False	cherryTree	NA	NA
0092-1	1448860223919	15	colorSizeTrial	sizeOnly4Distr1Same	big_orange_cap	distractor	1	1	NA	NA	big_blue_cap	distractor	4	2	NA	NA	big_orange_cap	distractor	3	5	NA	NA	small_blue_cap	target	5	3	NA	NA	big_orange_cap	distractor	2	4	NA	NA	1	0	1		adsf	1448860222762	NA	False	False	False	big_orange_cap	NA	NA
0092-1	1448860227090	16	colorSizeTrial	sizeOnly2Distr1Same	small_blue_binder	target	3	2	NA	NA	blackStimulus	NA	1	1	NA	NA	big_blue_binder	distractor	2	4	NA	NA	big_green_binder	distractor	4	3	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		asdf	1448860225898	NA	False	False	False	small_blue_binder	NA	NA
0092-1	1448860231905	17	subSuperTrial	distr33	bra	target	2	4	clothing	object	church	distrClass3	3	2	NA	place	blackStimulus	NA	1	1	NA	NA	firestation	distrClass3	4	3	NA	place	blackStimulus	NA	5	5	NA	NA	1	0	1		adsf	1448860229786	NA	False	False	False	bra	NA	NA
0092-1	1448860236205	18	subSuperTrial	distr33	germanShepherd	target	3	3	dog	animal	blackStimulus	NA	1	1	NA	NA	fir	distrClass3	4	4	NA	plant	ivy	distrClass3	2	2	NA	plant	blackStimulus	NA	5	5	NA	NA	1	0	1		adf	1448860234712	NA	False	False	False	germanShepherd	NA	NA
